condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-6,-6,26
easy,0.3,0,-7,-8,13
easy,0.3,0,-6,-6,14
easy,0.3,0,-7,-7,17
easy,0.7,1,8,8,28
easy,0.7,1,5,6,15
easy,0.3,0,-4,-5,10
easy,0.7,1,7,7,9
easy,0.7,1,6,6,12
easy,0.3,0,-7,-7,13
easy,0.3,0,-9,-9,21
easy,0.3,0,-9,-9,33
easy,0.3,0,-5,-5,5
easy,0.3,0,-6,-6,8
easy,0.3,0,-4,-4,10
easy,0.3,0,-8,-8,18
easy,0.7,1,9,9,13
easy,0.7,1,7,7,25
easy,0.3,0,-7,-7,7
easy,0.7,1,5,5,9
easy,0.7,1,6,6,8
easy,0.3,0,-4,-4,12
easy,0.7,1,6,6,10
easy,0.3,0,-3,-3,15
easy,0.3,0,-7,-7,13
easy,0.7,1,4,4,24
easy,0.3,0,-3,-3,21
easy,0.3,0,-5,-5,7
easy,0.3,0,-6,-6,6
easy,0.7,1,4,4,12
easy,0.3,0,-8,-8,20
easy,0.7,1,8,8,18
easy,0.7,1,6,6,10
easy,0.7,1,4,4,4
easy,0.3,0,-4,-5,6
easy,0.7,1,3,3,15
easy,0.7,1,5,5,7
easy,0.3,0,0,3,10
easy,0.7,1,4,4,10
easy,0.3,0,-6,-6,12
easy,0.7,1,7,7,27
easy,0.3,0,-4,-4,6
easy,0.3,0,-2,-2,10
easy,0.3,0,-5,-5,5
easy,0.7,1,6,6,32
easy,0.7,1,5,5,5
easy,0.7,1,6,6,18
easy,0.7,1,5,5,5
easy,0.3,0,-4,-4,6
easy,0.7,1,4,4,6
easy,0.3,0,-4,-4,4
easy,0.7,1,3,3,5
easy,0.7,1,4,4,4
easy,0.7,1,4,4,16
easy,0.7,1,3,3,5
easy,0.7,1,4,4,10
easy,0.7,1,4,4,6
easy,0.3,1,3,3,7
easy,0.7,0,0,4,22
easy,0.7,1,5,5,37
easy,0.3,0,-2,-4,6
easy,0.3,0,-1,-2,17
easy,0.7,1,-1,-3,19
easy,0.7,1,4,4,10
easy,0.3,0,-6,-6,14
easy,0.3,0,-5,-5,7
diff,0.5,0,-3,-3,9
diff,0.5,1,-2,-2,20
diff,0.5,0,-3,-3,15
diff,0.5,1,3,3,29
diff,0.5,1,2,2,4
diff,0.5,0,1,3,11
