"slopes_e","intercepts_e","slopes_m","intercepts_m"
-0.238413153245221,10.2218299963165,-0.367684501555273,12.5905579929241
-0.0623004997269005,2.26957615176092,-0.622157972419243,2.80441142893599
-0.216826043924131,7.49526863271085,-0.0598078408086435,5.99553575900778
-0.657767483681565,4.91222031116571,-1.69242626579686,7.90634615665398
-0.160319079011302,5.98275579732334,-0.621092486995796,10.076482248582
-0.355052884669811,6.82765084471071,-0.576138663739239,12.6499844410693
-0.0231356406316771,7.08607706996246,-0.477817549467343,11.4611085110864
-0.0637351864025999,3.6057685394325,-0.202751633707783,2.93531909984498
-0.432730431259282,7.80834147442001,-0.839853802549613,5.91879613005735
-0.283904815180742,2.95761332768326,-0.729108852089436,4.99602095866158
0.0499560025637825,5.9448150383653,-0.313795324458398,12.122442953659
-0.301204774433236,7.54736309120619,-0.537772535940852,9.0360447178245
-0.385295546687997,4.06871580353336,-0.186506614636772,3.96092674038809
-0.0903263657515866,6.18685041011431,0.0402498211579295,3.91777072193929
0.0407199609418724,6.44816166888161,0.046452444954869,6.62938986708271
-0.283938786108493,3.89544256748458,-0.638789332690867,6.36675061114452
-0.0448659030162321,6.83500146286291,-0.565784157193523,13.7083373971432
-0.244528715865572,2.63242484523073,-0.693945016568384,3.01568839175384
-0.0630703449105042,3.43275295572395,-0.381698724162227,5.23667431013243
-0.33452324585531,6.45873905507076,-0.881462530173816,10.3894022394047
-0.200323932883583,4.42678176673175,-0.79939689044873,7.53364852296745
-0.104556537142925,3.27662608907994,-1.52288172623225,9.30331949145223
