condition,coherence,decision,evidence,high_evidence,time
mix,0.5,1,2,2,2
mix,0.5,1,2,2,4
mix,0.5,0,-2,-2,4
mix,0.7,1,2,2,4
mix,0.7,1,2,2,2
mix,0.7,0,2,2,6
mix,0.7,1,3,3,3
mix,0.3,0,0,1,4
mix,0.7,1,2,2,8
mix,0.5,0,0,1,6
mix,0.5,0,-2,-2,2
mix,0.5,1,2,2,8
mix,0.3,0,-1,-1,3
mix,0.5,0,-1,-1,5
mix,0.5,1,1,1,3
mix,0.5,1,2,2,2
mix,0.7,1,2,2,4
mix,0.3,0,-2,-2,2
mix,0.5,1,2,2,4
mix,0.7,1,3,3,5
mix,0.7,1,2,2,2
