trial,condition,coherence,time,evidence,action,rt
1,1,0.3,1,1,0,4
1,1,0.3,2,2,0,4
1,1,0.3,3,3,0,4
1,1,0.3,4,4,1,4
2,1,0.7,1,-1,0,3
2,1,0.7,2,0,0,3
2,1,0.7,3,1,1,3
3,1,0.3,1,-1,0,3
3,1,0.3,2,-0,0,3
3,1,0.3,3,1,1,3
4,1,0.7,1,1,0,3
4,1,0.7,2,2,0,3
4,1,0.7,3,3,1,3
5,1,0.3,1,-1,0,3
5,1,0.3,2,-0,0,3
5,1,0.3,3,1,1,3
6,1,0.3,1,1,0,2
6,1,0.3,2,2,1,2
7,1,0.3,1,1,0,5
7,1,0.3,2,2,0,5
7,1,0.3,3,1,0,5
7,1,0.3,4,2,0,5
7,1,0.3,5,3,1,5
8,1,0.7,1,1,0,3
8,1,0.7,2,2,0,3
8,1,0.7,3,3,1,3
9,1,0.3,1,1,0,2
9,1,0.3,2,2,1,2
10,1,0.7,1,1,0,2
10,1,0.7,2,2,1,2
11,1,0.3,1,1,0,3
11,1,0.3,2,2,0,3
11,1,0.3,3,3,1,3
12,1,0.3,1,1,0,3
12,1,0.3,2,2,0,3
12,1,0.3,3,3,1,3
13,1,0.3,1,1,0,3
13,1,0.3,2,2,0,3
13,1,0.3,3,1,1,3
14,1,0.3,1,1,0,4
14,1,0.3,2,-0,0,4
14,1,0.3,3,1,0,4
14,1,0.3,4,2,1,4
15,1,0.7,1,1,0,4
15,1,0.7,2,0,0,4
15,1,0.7,3,1,0,4
15,1,0.7,4,2,1,4
16,1,0.7,1,1,0,4
16,1,0.7,2,2,0,4
16,1,0.7,3,3,0,4
16,1,0.7,4,4,1,4
17,1,0.7,1,1,0,3
17,1,0.7,2,2,0,3
17,1,0.7,3,3,1,3
18,1,0.3,1,1,0,2
18,1,0.3,2,2,1,2
19,1,0.3,1,1,0,3
19,1,0.3,2,0,0,3
19,1,0.3,3,1,1,3
20,1,0.3,1,-1,0,3
20,1,0.3,2,0,0,3
20,1,0.3,3,1,1,3
21,1,0.7,1,-1,0,5
21,1,0.7,2,-2,0,5
21,1,0.7,3,-1,0,5
21,1,0.7,4,-0,0,5
21,1,0.7,5,-1,1,5
22,1,0.3,1,-1,0,6
22,1,0.3,2,-0,0,6
22,1,0.3,3,1,0,6
22,1,0.3,4,2,0,6
22,1,0.3,5,3,0,6
22,1,0.3,6,4,1,6
23,1,0.3,1,1,0,3
23,1,0.3,2,2,0,3
23,1,0.3,3,3,1,3
24,1,0.7,1,1,0,3
24,1,0.7,2,2,0,3
24,1,0.7,3,3,1,3
25,1,0.7,1,1,0,2
25,1,0.7,2,2,1,2
26,1,0.3,1,-1,0,4
26,1,0.3,2,-0,0,4
26,1,0.3,3,1,0,4
26,1,0.3,4,2,1,4
27,1,0.7,1,1,0,3
27,1,0.7,2,2,0,3
27,1,0.7,3,3,1,3
28,1,0.3,1,1,0,3
28,1,0.3,2,2,0,3
28,1,0.3,3,3,1,3
29,1,0.3,1,1,0,6
29,1,0.3,2,-0,0,6
29,1,0.3,3,1,0,6
29,1,0.3,4,-0,0,6
29,1,0.3,5,1,0,6
29,1,0.3,6,2,1,6
30,1,0.3,1,1,0,3
30,1,0.3,2,2,0,3
30,1,0.3,3,3,1,3
31,1,0.3,1,1,0,3
31,1,0.3,2,2,0,3
31,1,0.3,3,3,1,3
32,1,0.7,1,-1,0,3
32,1,0.7,2,0,0,3
32,1,0.7,3,1,1,3
33,1,0.7,1,-1,0,5
33,1,0.7,2,-0,0,5
33,1,0.7,3,-1,0,5
33,1,0.7,4,-0,0,5
33,1,0.7,5,1,1,5
