condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-1,-2,13
easy,0.7,1,4,4,8
easy,0.3,0,-6,-6,6
easy,0.7,1,5,5,7
easy,0.3,0,-5,-5,9
easy,0.3,0,-3,-3,7
easy,0.3,0,1,3,15
easy,0.7,1,2,3,10
easy,0.7,1,4,4,14
easy,0.7,1,6,6,14
easy,0.3,0,-3,-3,9
easy,0.3,0,-3,-3,7
easy,0.3,1,1,2,7
easy,0.3,0,-5,-5,7
easy,0.3,0,-4,-4,8
easy,0.7,1,6,6,8
easy,0.3,0,-5,-5,11
easy,0.3,0,-3,-3,5
easy,0.7,1,3,4,9
easy,0.7,1,3,3,21
easy,0.7,1,5,5,9
easy,0.7,1,6,6,8
easy,0.3,0,-6,-6,20
easy,0.3,0,-6,-6,10
easy,0.7,1,6,6,12
easy,0.7,1,3,3,17
easy,0.3,1,1,1,11
easy,0.7,1,4,4,6
easy,0.7,1,7,7,9
easy,0.7,1,8,8,12
easy,0.7,1,7,7,7
easy,0.3,1,4,4,8
easy,0.7,1,3,3,7
easy,0.7,1,4,5,18
easy,0.7,1,12,12,18
easy,0.7,1,3,4,17
easy,0.3,0,-6,-6,30
easy,0.3,0,-7,-7,15
easy,0.3,0,-9,-9,11
easy,0.3,0,-4,-4,14
easy,0.3,0,-4,-5,12
easy,0.3,0,-3,-5,11
easy,0.3,0,-4,-5,12
easy,0.7,1,5,5,13
easy,0.7,1,5,5,9
easy,0.3,0,-8,-8,10
easy,0.3,0,-5,-5,7
easy,0.3,0,-6,-6,6
easy,0.7,0,-4,-4,6
easy,0.3,0,-3,-3,9
easy,0.3,0,-7,-7,11
easy,0.7,1,8,8,10
easy,0.7,1,3,4,15
easy,0.7,1,2,3,12
easy,0.3,0,-7,-7,13
easy,0.7,1,1,2,11
easy,0.7,1,3,4,9
easy,0.3,0,-6,-6,10
easy,0.3,0,-5,-5,7
easy,0.3,1,5,5,5
easy,0.7,1,2,2,12
easy,0.3,0,-7,-7,11
easy,0.3,0,-4,-5,8
easy,0.3,0,-4,-4,8
easy,0.3,0,-5,-5,9
easy,0.7,1,5,5,9
easy,0.3,0,-2,-3,10
easy,0.7,0,-3,-3,13
diff,0.5,0,-6,-6,8
diff,0.5,0,-3,-4,15
diff,0.5,1,2,3,16
diff,0.5,0,-1,-3,27
diff,0.5,1,-1,-9,43
diff,0.5,0,-5,-5,15
diff,0.5,1,9,9,17
diff,0.5,0,-3,-4,25
diff,0.5,1,-1,-2,25
diff,0.5,1,-2,-8,24
diff,0.5,0,-1,-4,19
diff,0.5,1,-1,-5,15
diff,0.5,0,-4,-4,14
diff,0.5,1,7,7,17
diff,0.5,0,-4,-4,8
diff,0.5,1,-2,-2,8
diff,0.5,1,-1,-1,3
diff,0.5,0,-2,-2,2
diff,0.5,0,-1,-1,3
diff,0.5,1,-1,-2,9
diff,0.5,0,-3,-3,9
diff,0.5,0,-2,-4,14
diff,0.5,1,-1,-1,1
diff,0.5,1,-1,-1,1
diff,0.5,1,2,2,2
diff,0.5,1,0,2,14
diff,0.5,0,-4,-4,6
diff,0.5,0,-2,-3,6
diff,0.5,1,0,1,8
diff,0.5,1,4,4,8
diff,0.5,0,0,2,6
diff,0.5,0,-3,-3,7
diff,0.5,1,-1,-3,19
diff,0.5,1,4,4,10
diff,0.5,1,2,3,6
diff,0.5,0,-1,-2,5
diff,0.5,1,3,3,5
diff,0.5,1,1,3,7
diff,0.5,1,-3,-3,7
diff,0.5,1,1,2,3
diff,0.5,1,1,2,9
diff,0.5,0,-3,-4,11
diff,0.5,0,-8,-8,14
diff,0.5,1,-4,-6,22
diff,0.5,0,-1,-5,31
diff,0.5,0,0,3,14
diff,0.5,1,-7,-7,13
diff,0.5,1,-4,-4,10
diff,0.5,1,-2,-2,10
diff,0.5,1,-5,-5,13
mix,0.7,1,7,7,13
mix,0.7,1,6,6,14
mix,0.3,1,2,2,26
mix,0.5,0,0,3,20
mix,0.5,0,-4,-4,10
mix,0.3,0,-4,-4,6
mix,0.3,0,-2,-3,22
mix,0.3,0,-3,-4,11
mix,0.7,1,4,4,10
mix,0.5,1,4,4,16
mix,0.5,0,-3,-3,15
mix,0.5,1,3,3,3
mix,0.3,0,-3,-4,15
mix,0.5,0,-4,-4,8
mix,0.7,1,5,5,7
mix,0.7,1,5,5,11
mix,0.7,1,4,4,6
mix,0.5,1,4,4,12
mix,0.7,1,2,2,12
mix,0.5,1,2,3,8
mix,0.7,0,7,9,25
mix,0.7,1,3,3,15
mix,0.3,0,-5,-6,23
mix,0.3,0,-7,-7,11
mix,0.5,0,-2,-2,12
mix,0.7,1,6,6,8
mix,0.5,0,-3,-4,13
mix,0.5,1,2,3,22
mix,0.7,1,2,2,14
mix,0.3,0,-8,-8,16
mix,0.5,0,-4,-4,22
mix,0.5,0,-6,-6,14
mix,0.5,1,1,3,11
mix,0.3,0,-9,-9,11
mix,0.3,0,-2,-3,12
mix,0.7,1,4,4,12
mix,0.3,0,-6,-6,6
mix,0.5,1,-2,-2,18
mix,0.7,1,3,4,5
mix,0.3,0,-4,-4,6
