trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,4
1,1,0.72,2,0,0,4
1,1,0.72,3,1,0,4
1,1,0.72,4,2,1,4
2,1,0.28,1,1,0,3
2,1,0.28,2,2,0,3
2,1,0.28,3,3,1,3
3,1,0.28,1,-1,0,4
3,1,0.28,2,-0,0,4
3,1,0.28,3,1,0,4
3,1,0.28,4,2,1,4
4,1,0.72,1,1,0,4
4,1,0.72,2,2,0,4
4,1,0.72,3,1,0,4
4,1,0.72,4,2,1,4
5,1,0.72,1,1,0,4
5,1,0.72,2,0,0,4
5,1,0.72,3,1,0,4
5,1,0.72,4,2,1,4
6,1,0.72,1,1,0,4
6,1,0.72,2,-0,0,4
6,1,0.72,3,-1,0,4
6,1,0.72,4,-0,1,4
7,1,0.72,1,-1,0,4
7,1,0.72,2,0,0,4
7,1,0.72,3,1,0,4
7,1,0.72,4,2,1,4
8,1,0.28,1,1,0,3
8,1,0.28,2,-0,0,3
8,1,0.28,3,1,1,3
9,1,0.72,1,1,0,4
9,1,0.72,2,0,0,4
9,1,0.72,3,1,0,4
9,1,0.72,4,0,1,4
10,1,0.72,1,1,0,3
10,1,0.72,2,2,0,3
10,1,0.72,3,3,1,3
11,1,0.72,1,1,0,2
11,1,0.72,2,2,1,2
12,1,0.28,1,-1,0,4
12,1,0.28,2,0,0,4
12,1,0.28,3,1,0,4
12,1,0.28,4,2,1,4
13,1,0.28,1,-1,0,4
13,1,0.28,2,-0,0,4
13,1,0.28,3,1,0,4
13,1,0.28,4,2,1,4
14,1,0.28,1,1,0,3
14,1,0.28,2,2,0,3
14,1,0.28,3,3,1,3
15,1,0.28,1,-1,0,5
15,1,0.28,2,-2,0,5
15,1,0.28,3,-1,0,5
15,1,0.28,4,-0,0,5
15,1,0.28,5,1,1,5
16,1,0.72,1,1,0,2
16,1,0.72,2,2,1,2
17,1,0.72,1,1,0,3
17,1,0.72,2,0,0,3
17,1,0.72,3,1,1,3
18,1,0.72,1,1,0,2
18,1,0.72,2,2,1,2
19,1,0.28,1,1,0,2
19,1,0.28,2,2,1,2
20,1,0.72,1,1,0,3
20,1,0.72,2,0,0,3
20,1,0.72,3,1,1,3
21,1,0.72,1,1,0,2
21,1,0.72,2,2,1,2
22,1,0.72,1,1,0,3
22,1,0.72,2,0,0,3
22,1,0.72,3,1,1,3
23,1,0.72,1,-1,0,3
23,1,0.72,2,-0,0,3
23,1,0.72,3,1,1,3
24,1,0.28,1,1,0,3
24,1,0.28,2,-0,0,3
24,1,0.28,3,1,1,3
25,1,0.28,1,1,0,4
25,1,0.28,2,0,0,4
25,1,0.28,3,1,0,4
25,1,0.28,4,2,1,4
26,1,0.28,1,1,0,3
26,1,0.28,2,2,0,3
26,1,0.28,3,1,1,3
27,1,0.72,1,1,0,3
27,1,0.72,2,0,0,3
27,1,0.72,3,1,1,3
28,1,0.72,1,-1,0,4
28,1,0.72,2,0,0,4
28,1,0.72,3,1,0,4
28,1,0.72,4,0,1,4
29,1,0.72,1,-1,0,4
29,1,0.72,2,-0,0,4
29,1,0.72,3,1,0,4
29,1,0.72,4,2,1,4
30,1,0.28,1,1,0,4
30,1,0.28,2,2,0,4
30,1,0.28,3,3,0,4
30,1,0.28,4,2,1,4
31,1,0.28,1,-1,0,4
31,1,0.28,2,0,0,4
31,1,0.28,3,1,0,4
31,1,0.28,4,2,1,4
32,1,0.72,1,-1,0,6
32,1,0.72,2,-2,0,6
32,1,0.72,3,-1,0,6
32,1,0.72,4,0,0,6
32,1,0.72,5,1,0,6
32,1,0.72,6,2,1,6
33,1,0.72,1,1,1,1
34,1,0.72,1,-1,0,3
34,1,0.72,2,-0,0,3
34,1,0.72,3,-1,1,3
35,1,0.28,1,1,0,3
35,1,0.28,2,0,0,3
35,1,0.28,3,1,1,3
36,1,0.72,1,-1,0,6
36,1,0.72,2,0,0,6
36,1,0.72,3,-1,0,6
36,1,0.72,4,0,0,6
36,1,0.72,5,1,0,6
36,1,0.72,6,2,1,6
37,1,0.72,1,1,0,3
37,1,0.72,2,2,0,3
37,1,0.72,3,3,1,3
38,1,0.72,1,-1,0,3
38,1,0.72,2,0,0,3
38,1,0.72,3,1,1,3
39,1,0.72,1,1,0,5
39,1,0.72,2,0,0,5
39,1,0.72,3,1,0,5
39,1,0.72,4,0,0,5
39,1,0.72,5,1,1,5
40,1,0.28,1,1,0,3
40,1,0.28,2,2,0,3
40,1,0.28,3,3,1,3
41,1,0.28,1,-1,0,6
41,1,0.28,2,-0,0,6
41,1,0.28,3,-1,0,6
41,1,0.28,4,-0,0,6
41,1,0.28,5,1,0,6
41,1,0.28,6,2,1,6
42,1,0.72,1,-1,0,5
42,1,0.72,2,0,0,5
42,1,0.72,3,1,0,5
42,1,0.72,4,2,0,5
42,1,0.72,5,3,1,5
43,1,0.28,1,-1,0,5
43,1,0.28,2,0,0,5
43,1,0.28,3,-1,0,5
43,1,0.28,4,0,0,5
43,1,0.28,5,1,1,5
44,1,0.28,1,1,0,4
44,1,0.28,2,-0,0,4
44,1,0.28,3,1,0,4
44,1,0.28,4,2,1,4
45,1,0.28,1,-1,0,5
45,1,0.28,2,-0,0,5
45,1,0.28,3,1,0,5
45,1,0.28,4,2,0,5
45,1,0.28,5,3,1,5
46,1,0.28,1,-1,0,6
46,1,0.28,2,-2,0,6
46,1,0.28,3,-1,0,6
46,1,0.28,4,-0,0,6
46,1,0.28,5,-1,0,6
46,1,0.28,6,-0,1,6
47,1,0.72,1,-1,0,3
47,1,0.72,2,0,0,3
47,1,0.72,3,1,1,3
48,1,0.28,1,1,0,2
48,1,0.28,2,2,1,2
49,1,0.28,1,1,0,3
49,1,0.28,2,-0,0,3
49,1,0.28,3,1,1,3
50,1,0.72,1,-1,0,4
50,1,0.72,2,0,0,4
50,1,0.72,3,1,0,4
50,1,0.72,4,2,1,4
51,1,0.28,1,1,0,2
51,1,0.28,2,2,1,2
52,1,0.28,1,1,0,2
52,1,0.28,2,2,1,2
53,1,0.72,1,1,0,3
53,1,0.72,2,2,0,3
53,1,0.72,3,3,1,3
54,1,0.28,1,-1,0,3
54,1,0.28,2,-0,0,3
54,1,0.28,3,1,1,3
55,1,0.28,1,1,0,3
55,1,0.28,2,2,0,3
55,1,0.28,3,3,1,3
56,1,0.72,1,-1,0,5
56,1,0.72,2,0,0,5
56,1,0.72,3,1,0,5
56,1,0.72,4,0,0,5
56,1,0.72,5,1,1,5
57,1,0.28,1,1,0,2
57,1,0.28,2,2,1,2
58,1,0.28,1,1,0,3
58,1,0.28,2,2,0,3
58,1,0.28,3,3,1,3
59,1,0.72,1,-1,0,3
59,1,0.72,2,0,0,3
59,1,0.72,3,1,1,3
60,1,0.72,1,1,0,4
60,1,0.72,2,2,0,4
60,1,0.72,3,1,0,4
60,1,0.72,4,2,1,4
61,1,0.72,1,1,0,3
61,1,0.72,2,2,0,3
61,1,0.72,3,3,1,3
62,1,0.72,1,1,0,3
62,1,0.72,2,0,0,3
62,1,0.72,3,1,1,3
63,1,0.72,1,1,0,4
63,1,0.72,2,2,0,4
63,1,0.72,3,1,0,4
63,1,0.72,4,2,1,4
1,2,0.5,1,-1,0,7
1,2,0.5,2,-0,0,7
1,2,0.5,3,-1,0,7
1,2,0.5,4,-0,0,7
1,2,0.5,5,-1,0,7
1,2,0.5,6,-0,0,7
1,2,0.5,7,1,1,7
2,2,0.5,1,-1,0,2
2,2,0.5,2,0,1,2
3,2,0.5,1,1,0,2
3,2,0.5,2,2,1,2
4,2,0.5,1,1,0,4
4,2,0.5,2,2,0,4
4,2,0.5,3,1,0,4
4,2,0.5,4,0,1,4
5,2,0.5,1,1,0,4
5,2,0.5,2,2,0,4
5,2,0.5,3,1,0,4
5,2,0.5,4,2,1,4
6,2,0.5,1,1,0,3
6,2,0.5,2,0,0,3
6,2,0.5,3,1,1,3
7,2,0.5,1,1,0,3
7,2,0.5,2,2,0,3
7,2,0.5,3,1,1,3
8,2,0.5,1,1,0,3
8,2,0.5,2,-0,0,3
8,2,0.5,3,-1,1,3
9,2,0.5,1,1,1,1
10,2,0.5,1,1,0,2
10,2,0.5,2,2,1,2
11,2,0.5,1,1,1,1
12,2,0.5,1,1,0,4
12,2,0.5,2,2,0,4
12,2,0.5,3,1,0,4
12,2,0.5,4,2,1,4
13,2,0.5,1,1,1,1
14,2,0.5,1,-1,0,2
14,2,0.5,2,-2,1,2
15,2,0.5,1,1,1,1
16,2,0.5,1,1,0,3
16,2,0.5,2,2,0,3
16,2,0.5,3,3,1,3
17,2,0.5,1,1,0,2
17,2,0.5,2,2,1,2
18,2,0.5,1,1,0,2
18,2,0.5,2,2,1,2
19,2,0.5,1,1,0,3
19,2,0.5,2,-0,0,3
19,2,0.5,3,1,1,3
20,2,0.5,1,-1,0,2
20,2,0.5,2,0,1,2
21,2,0.5,1,1,0,2
21,2,0.5,2,2,1,2
22,2,0.5,1,1,1,1
23,2,0.5,1,-1,1,1
24,2,0.5,1,1,1,1
25,2,0.5,1,-1,1,1
26,2,0.5,1,-1,1,1
27,2,0.5,1,1,1,1
28,2,0.5,1,1,1,1
29,2,0.5,1,1,0,5
29,2,0.5,2,-0,0,5
29,2,0.5,3,-1,0,5
29,2,0.5,4,-2,0,5
29,2,0.5,5,-1,1,5
30,2,0.5,1,1,0,3
30,2,0.5,2,2,0,3
30,2,0.5,3,3,1,3
31,2,0.5,1,1,0,2
31,2,0.5,2,-0,1,2
32,2,0.5,1,-1,0,2
32,2,0.5,2,0,1,2
