trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,9
1,1,0.72,2,2,0,9
1,1,0.72,3,3,0,9
1,1,0.72,4,4,0,9
1,1,0.72,5,5,0,9
1,1,0.72,6,4,0,9
1,1,0.72,7,5,0,9
1,1,0.72,8,6,0,9
1,1,0.72,9,7,1,9
2,1,0.28,1,1,0,8
2,1,0.28,2,2,0,8
2,1,0.28,3,3,0,8
2,1,0.28,4,4,0,8
2,1,0.28,5,3,0,8
2,1,0.28,6,4,0,8
2,1,0.28,7,5,0,8
2,1,0.28,8,6,1,8
3,1,0.28,1,1,0,7
3,1,0.28,2,2,0,7
3,1,0.28,3,3,0,7
3,1,0.28,4,4,0,7
3,1,0.28,5,5,0,7
3,1,0.28,6,6,0,7
3,1,0.28,7,7,1,7
4,1,0.28,1,1,0,6
4,1,0.28,2,2,0,6
4,1,0.28,3,3,0,6
4,1,0.28,4,4,0,6
4,1,0.28,5,5,0,6
4,1,0.28,6,6,1,6
5,1,0.28,1,1,0,4
5,1,0.28,2,2,0,4
5,1,0.28,3,3,0,4
5,1,0.28,4,4,1,4
6,1,0.28,1,1,0,3
6,1,0.28,2,2,0,3
6,1,0.28,3,3,1,3
7,1,0.28,1,-1,0,12
7,1,0.28,2,-0,0,12
7,1,0.28,3,-1,0,12
7,1,0.28,4,-0,0,12
7,1,0.28,5,1,0,12
7,1,0.28,6,2,0,12
7,1,0.28,7,3,0,12
7,1,0.28,8,4,0,12
7,1,0.28,9,5,0,12
7,1,0.28,10,6,0,12
7,1,0.28,11,7,0,12
7,1,0.28,12,8,1,12
8,1,0.72,1,1,0,7
8,1,0.72,2,2,0,7
8,1,0.72,3,3,0,7
8,1,0.72,4,4,0,7
8,1,0.72,5,5,0,7
8,1,0.72,6,6,0,7
8,1,0.72,7,7,1,7
9,1,0.72,1,1,0,5
9,1,0.72,2,2,0,5
9,1,0.72,3,3,0,5
9,1,0.72,4,4,0,5
9,1,0.72,5,5,1,5
10,1,0.72,1,1,0,7
10,1,0.72,2,2,0,7
10,1,0.72,3,1,0,7
10,1,0.72,4,2,0,7
10,1,0.72,5,3,0,7
10,1,0.72,6,4,0,7
10,1,0.72,7,5,1,7
11,1,0.72,1,1,0,11
11,1,0.72,2,2,0,11
11,1,0.72,3,1,0,11
11,1,0.72,4,0,0,11
11,1,0.72,5,1,0,11
11,1,0.72,6,2,0,11
11,1,0.72,7,3,0,11
11,1,0.72,8,4,0,11
11,1,0.72,9,5,0,11
11,1,0.72,10,6,0,11
11,1,0.72,11,5,1,11
12,1,0.28,1,1,0,28
12,1,0.28,2,2,0,28
12,1,0.28,3,3,0,28
12,1,0.28,4,2,0,28
12,1,0.28,5,3,0,28
12,1,0.28,6,4,0,28
12,1,0.28,7,3,0,28
12,1,0.28,8,4,0,28
12,1,0.28,9,5,0,28
12,1,0.28,10,4,0,28
12,1,0.28,11,3,0,28
12,1,0.28,12,2,0,28
12,1,0.28,13,3,0,28
12,1,0.28,14,4,0,28
12,1,0.28,15,3,0,28
12,1,0.28,16,2,0,28
12,1,0.28,17,3,0,28
12,1,0.28,18,4,0,28
12,1,0.28,19,5,0,28
12,1,0.28,20,6,0,28
12,1,0.28,21,7,0,28
12,1,0.28,22,8,0,28
12,1,0.28,23,7,0,28
12,1,0.28,24,6,0,28
12,1,0.28,25,7,0,28
12,1,0.28,26,8,0,28
12,1,0.28,27,9,0,28
12,1,0.28,28,10,1,28
13,1,0.28,1,-1,0,9
13,1,0.28,2,-0,0,9
13,1,0.28,3,1,0,9
13,1,0.28,4,2,0,9
13,1,0.28,5,1,0,9
13,1,0.28,6,2,0,9
13,1,0.28,7,3,0,9
13,1,0.28,8,4,0,9
13,1,0.28,9,5,1,9
14,1,0.72,1,1,0,5
14,1,0.72,2,2,0,5
14,1,0.72,3,3,0,5
14,1,0.72,4,4,0,5
14,1,0.72,5,5,1,5
15,1,0.28,1,1,0,6
15,1,0.28,2,-0,0,6
15,1,0.28,3,1,0,6
15,1,0.28,4,2,0,6
15,1,0.28,5,3,0,6
15,1,0.28,6,4,1,6
16,1,0.72,1,1,0,3
16,1,0.72,2,2,0,3
16,1,0.72,3,1,1,3
17,1,0.72,1,1,0,3
17,1,0.72,2,2,0,3
17,1,0.72,3,1,1,3
18,1,0.28,1,1,0,19
18,1,0.28,2,-0,0,19
18,1,0.28,3,-1,0,19
18,1,0.28,4,-0,0,19
18,1,0.28,5,1,0,19
18,1,0.28,6,-0,0,19
18,1,0.28,7,1,0,19
18,1,0.28,8,2,0,19
18,1,0.28,9,1,0,19
18,1,0.28,10,-0,0,19
18,1,0.28,11,1,0,19
18,1,0.28,12,2,0,19
18,1,0.28,13,3,0,19
18,1,0.28,14,4,0,19
18,1,0.28,15,3,0,19
18,1,0.28,16,4,0,19
18,1,0.28,17,5,0,19
18,1,0.28,18,6,0,19
18,1,0.28,19,5,1,19
19,1,0.28,1,1,0,6
19,1,0.28,2,-0,0,6
19,1,0.28,3,1,0,6
19,1,0.28,4,2,0,6
19,1,0.28,5,3,0,6
19,1,0.28,6,4,1,6
20,1,0.28,1,-1,0,7
20,1,0.28,2,-0,0,7
20,1,0.28,3,-1,0,7
20,1,0.28,4,-0,0,7
20,1,0.28,5,1,0,7
20,1,0.28,6,2,0,7
20,1,0.28,7,3,1,7
21,1,0.28,1,1,0,3
21,1,0.28,2,2,0,3
21,1,0.28,3,1,1,3
22,1,0.28,1,1,0,3
22,1,0.28,2,2,0,3
22,1,0.28,3,1,1,3
23,1,0.72,1,1,0,3
23,1,0.72,2,2,0,3
23,1,0.72,3,3,1,3
24,1,0.72,1,1,0,8
24,1,0.72,2,-0,0,8
24,1,0.72,3,1,0,8
24,1,0.72,4,2,0,8
24,1,0.72,5,3,0,8
