condition,block,coherence,decision,evidence,high_evidence,time,rt
3,3,0.28,1,-2,-2,2,0.6461
3,3,0.5,1,-1,-1,1,0.48962
3,3,0.5,1,-1,-1,1,0.51365
3,3,0.28,0,2,2,2,0.72472
3,3,0.72,0,6,6,6,1.5295
3,3,0.5,1,0,1,2,0.66188
3,3,0.28,1,-1,-1,3,0.85479
3,3,0.5,0,-1,-1,3,0.89647
3,3,0.5,1,-2,-2,2,0.68236
3,3,0.5,0,-1,-1,5,1.2879
3,3,0.5,1,-2,-2,8,1.9152
3,3,0.5,0,1,1,1,0.42637
3,4,0.5,0,1,1,3,0.87378
3,4,0.5,1,-1,-1,1,0.48068
3,4,0.72,1,-1,-1,1,0.43406
3,4,0.72,0,1,1,1,0.5132
3,4,0.5,1,-2,-2,2,0.63249
3,4,0.28,1,-3,-3,5,1.2802
3,4,0.72,0,2,2,4,1.1098
3,4,0.28,1,-3,-3,3,0.88595
3,4,0.72,1,2,2,6,1.553
3,4,0.28,1,-3,-3,3,0.92023
3,4,0.28,1,-3,-3,3,0.88631
3,4,0.5,0,-1,-1,3,0.92144
3,4,0.5,1,0,1,6,1.5028
3,4,0.28,0,-2,-2,4,1.0881
3,4,0.5,1,2,2,4,1.0521
