condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.72,0,1,1,1,0.491
1,1,0.72,0,2,2,2,0.67023
1,1,0.72,0,1,1,1,0.47807
1,1,0.72,1,-1,-1,3,0.89591
1,1,0.28,1,-1,-1,1,0.50111
1,1,0.72,0,0,1,2,0.6304
1,1,0.72,1,0,1,2,0.65404
1,1,0.28,1,-1,-1,1,0.45751
1,1,0.28,1,-1,-1,1,0.49103
1,1,0.28,1,-1,-1,1,0.4545
1,1,0.72,0,1,1,1,0.44234
1,1,0.28,1,-1,-1,1,0.5115
1,1,0.28,1,-1,-1,1,0.47937
1,1,0.28,1,-1,-1,1,0.46065
1,1,0.28,0,1,1,1,0.46195
1,1,0.28,1,-1,-1,1,0.47106
1,2,0.28,0,1,1,1,0.49812
1,2,0.72,0,1,1,1,0.49946
1,2,0.28,1,-1,-1,1,0.45289
1,2,0.72,0,1,1,1,0.46418
1,2,0.72,1,-1,-1,1,0.46644
1,2,0.28,1,-1,-1,1,0.43332
1,2,0.28,1,-1,-1,1,0.49684
1,2,0.72,1,-1,-1,1,0.45034
1,2,0.72,0,1,1,1,0.44598
1,2,0.72,0,1,1,1,0.44164
1,2,0.28,1,0,1,2,0.67883
1,2,0.72,0,1,1,1,0.46885
1,2,0.28,0,1,1,1,0.42789
1,2,0.72,1,-1,-1,1,0.43576
1,2,0.72,1,-1,-1,1,0.47366
1,2,0.28,1,-1,-1,1,0.47275
1,2,0.28,1,-1,-1,1,0.44059
1,3,0.28,0,1,1,1,0.44292
1,3,0.28,0,1,1,1,0.51206
1,3,0.72,0,1,1,1,0.44772
1,3,0.28,1,-1,-1,1,0.48345
1,3,0.28,1,-1,-1,1,0.4813
1,3,0.72,1,-1,-1,1,0.42258
1,3,0.72,0,1,1,1,0.44823
1,3,0.72,1,0,1,2,0.72027
1,3,0.72,1,-1,-1,1,0.46546
1,3,0.72,1,-1,-1,3,0.88056
1,3,0.72,1,0,1,2,0.72649
1,3,0.72,1,-1,-1,1,0.47339
1,3,0.28,0,1,1,1,0.51742
1,3,0.72,0,2,2,2,0.64717
1,3,0.72,0,0,1,2,0.70654
1,3,0.28,1,-2,-2,2,0.66579
1,4,0.28,1,-1,-1,1,0.45239
1,4,0.72,1,-1,-1,1,0.4959
1,4,0.28,1,0,1,2,0.65739
1,4,0.72,0,2,2,2,0.64324
1,4,0.72,0,1,1,3,0.89616
1,4,0.72,1,-1,-1,3,0.91447
1,4,0.72,1,-1,-2,3,0.93741
1,4,0.72,0,2,2,2,0.68722
1,4,0.28,1,-1,-1,1,0.46238
1,4,0.28,1,-2,-2,2,0.73102
1,4,0.28,1,-2,-2,2,0.71035
1,4,0.72,0,1,1,1,0.44111
1,4,0.72,1,0,1,2,0.65477
1,4,0.28,1,-2,-2,2,0.719
1,4,0.28,0,1,1,1,0.47198
1,4,0.72,0,0,1,2,0.72696
2,1,0.5,1,-1,-1,1,0.4809
2,1,0.5,0,1,1,1,0.48379
2,1,0.5,1,1,1,1,0.47388
2,1,0.5,1,1,1,1,0.4974
2,1,0.5,1,-1,-1,1,0.41371
2,1,0.5,0,1,1,1,0.48548
2,1,0.5,1,1,1,1,0.46287
2,1,0.5,1,-1,-1,1,0.45644
2,1,0.5,0,0,1,2,0.70569
