trial,condition,coherence,time,evidence,action,rt
1,1,0.28,1,1,0,4
1,1,0.28,2,2,0,4
1,1,0.28,3,3,0,4
1,1,0.28,4,4,1,4
2,1,0.28,1,-1,0,8
2,1,0.28,2,-0,0,8
2,1,0.28,3,1,0,8
2,1,0.28,4,2,0,8
2,1,0.28,5,1,0,8
2,1,0.28,6,2,0,8
2,1,0.28,7,3,0,8
2,1,0.28,8,2,1,8
3,1,0.72,1,1,0,4
3,1,0.72,2,2,0,4
3,1,0.72,3,1,0,4
3,1,0.72,4,2,1,4
4,1,0.72,1,1,0,9
4,1,0.72,2,2,0,9
4,1,0.72,3,1,0,9
4,1,0.72,4,0,0,9
4,1,0.72,5,-1,0,9
4,1,0.72,6,0,0,9
4,1,0.72,7,1,0,9
4,1,0.72,8,0,0,9
4,1,0.72,9,1,1,9
5,1,0.72,1,-1,0,7
5,1,0.72,2,0,0,7
5,1,0.72,3,1,0,7
5,1,0.72,4,2,0,7
5,1,0.72,5,3,0,7
5,1,0.72,6,4,0,7
5,1,0.72,7,5,1,7
6,1,0.28,1,1,0,4
6,1,0.28,2,2,0,4
6,1,0.28,3,3,0,4
6,1,0.28,4,4,1,4
7,1,0.72,1,1,0,7
7,1,0.72,2,0,0,7
7,1,0.72,3,1,0,7
7,1,0.72,4,0,0,7
7,1,0.72,5,1,0,7
7,1,0.72,6,2,0,7
7,1,0.72,7,3,1,7
8,1,0.28,1,1,0,7
8,1,0.28,2,-0,0,7
8,1,0.28,3,1,0,7
8,1,0.28,4,-0,0,7
8,1,0.28,5,1,0,7
8,1,0.28,6,2,0,7
8,1,0.28,7,1,1,7
9,1,0.28,1,-1,0,9
9,1,0.28,2,-0,0,9
9,1,0.28,3,1,0,9
9,1,0.28,4,-0,0,9
9,1,0.28,5,1,0,9
9,1,0.28,6,2,0,9
9,1,0.28,7,3,0,9
9,1,0.28,8,4,0,9
9,1,0.28,9,5,1,9
10,1,0.28,1,1,0,5
10,1,0.28,2,2,0,5
10,1,0.28,3,3,0,5
10,1,0.28,4,2,0,5
10,1,0.28,5,1,1,5
11,1,0.28,1,1,0,4
11,1,0.28,2,2,0,4
11,1,0.28,3,3,0,4
11,1,0.28,4,2,1,4
12,1,0.72,1,1,0,4
12,1,0.72,2,2,0,4
12,1,0.72,3,3,0,4
12,1,0.72,4,4,1,4
13,1,0.28,1,1,0,6
13,1,0.28,2,-0,0,6
13,1,0.28,3,1,0,6
13,1,0.28,4,2,0,6
13,1,0.28,5,3,0,6
13,1,0.28,6,4,1,6
14,1,0.72,1,1,0,11
14,1,0.72,2,0,0,11
14,1,0.72,3,-1,0,11
14,1,0.72,4,0,0,11
14,1,0.72,5,1,0,11
14,1,0.72,6,2,0,11
14,1,0.72,7,1,0,11
14,1,0.72,8,2,0,11
14,1,0.72,9,3,0,11
14,1,0.72,10,4,0,11
14,1,0.72,11,5,1,11
15,1,0.28,1,-1,0,5
15,1,0.28,2,-0,0,5
15,1,0.28,3,1,0,5
15,1,0.28,4,2,0,5
15,1,0.28,5,3,1,5
16,1,0.72,1,1,0,6
16,1,0.72,2,0,0,6
16,1,0.72,3,1,0,6
16,1,0.72,4,2,0,6
16,1,0.72,5,3,0,6
16,1,0.72,6,4,1,6
17,1,0.28,1,1,0,4
17,1,0.28,2,2,0,4
17,1,0.28,3,3,0,4
17,1,0.28,4,4,1,4
18,1,0.72,1,1,0,4
18,1,0.72,2,2,0,4
18,1,0.72,3,3,0,4
18,1,0.72,4,4,1,4
19,1,0.72,1,1,0,3
19,1,0.72,2,2,0,3
19,1,0.72,3,3,1,3
20,1,0.28,1,1,0,3
20,1,0.28,2,2,0,3
20,1,0.28,3,3,1,3
21,1,0.28,1,1,0,3
21,1,0.28,2,2,0,3
21,1,0.28,3,3,1,3
22,1,0.28,1,1,0,4
22,1,0.28,2,2,0,4
22,1,0.28,3,3,0,4
22,1,0.28,4,4,1,4
23,1,0.72,1,1,0,2
23,1,0.72,2,0,1,2
24,1,0.28,1,-1,0,5
24,1,0.28,2,-0,0,5
24,1,0.28,3,1,0,5
24,1,0.28,4,2,0,5
24,1,0.28,5,1,1,5
25,1,0.28,1,1,0,5
25,1,0.28,2,2,0,5
25,1,0.28,3,1,0,5
25,1,0.28,4,-0,0,5
25,1,0.28,5,1,1,5
26,1,0.72,1,-1,0,5
26,1,0.72,2,0,0,5
26,1,0.72,3,1,0,5
26,1,0.72,4,2,0,5
26,1,0.72,5,3,1,5
27,1,0.28,1,1,0,4
27,1,0.28,2,2,0,4
27,1,0.28,3,1,0,4
27,1,0.28,4,2,1,4
28,1,0.72,1,1,0,4
28,1,0.72,2,0,0,4
28,1,0.72,3,1,0,4
28,1,0.72,4,2,1,4
29,1,0.28,1,1,0,3
29,1,0.28,2,2,0,3
29,1,0.28,3,3,1,3
30,1,0.72,1,1,0,4
30,1,0.72,2,2,0,4
30,1,0.72,3,3,0,4
30,1,0.72,4,4,1,4
31,1,0.72,1,1,0,3
31,1,0.72,2,2,0,3
31,1,0.72,3,1,1,3
32,1,0.28,1,1,0,2
32,1,0.28,2,2,1,2
33,1,0.28,1,1,0,4
33,1,0.28,2,2,0,4
33,1,0.28,3,3,0,4
33,1,0.28,4,4,1,4
34,1,0.72,1,1,0,3
34,1,0.72,2,2,0,3
34,1,0.72,3,3,1,3
35,1,0.28,1,1,0,2
35,1,0.28,2,-0,1,2
36,1,0.28,1,1,0,3
36,1,0.28,2,2,0,3
36,1,0.28,3,1,1,3
37,1,0.72,1,1,0,5
37,1,0.72,2,-0,0,5
37,1,0.72,3,-1,0,5
37,1,0.72,4,-0,0,5
37,1,0.72,5,-1,1,5
38,1,0.28,1,1,0,4
38,1,0.28,2,2,0,4
38,1,0.28,3,3,0,4
38,1,0.28,4,4,1,4
39,1,0.28,1,1,0,3
39,1,0.28,2,2,0,3
39,1,0.28,3,3,1,3
40,1,0.72,1,1,0,3
40,1,0.72,2,2,0,3
40,1,0.72,3,1,1,3
41,1,0.28,1,-1,0,6
41,1,0.28,2,-0,0,6
41,1,0.28,3,1,0,6
41,1,0.28,4,2,0,6
41,1,0.28,5,3,0,6
41,1,0.28,6,2,1,6
42,1,0.72,1,-1,0,5
42,1,0.72,2,0,0,5
42,1,0.72,3,1,0,5
42,1,0.72,4,2,0,5
42,1,0.72,5,3,1,5
43,1,0.72,1,1,0,6
43,1,0.72,2,0,0,6
43,1,0.72,3,1,0,6
43,1,0.72,4,2,0,6
43,1,0.72,5,1,0,6
43,1,0.72,6,2,1,6
44,1,0.28,1,1,0,4
44,1,0.28,2,2,0,4
44,1,0.28,3,3,0,4
44,1,0.28,4,4,1,4
45,1,0.28,1,1,0,6
45,1,0.28,2,2,0,6
45,1,0.28,3,1,0,6
45,1,0.28,4,2,0,6
45,1,0.28,5,3,0,6
45,1,0.28,6,4,1,6
46,1,0.28,1,1,0,3
46,1,0.28,2,2,0,3
46,1,0.28,3,3,1,3
47,1,0.28,1,-1,0,5
47,1,0.28,2,-0,0,5
47,1,0.28,3,1,0,5
47,1,0.28,4,2,0,5
47,1,0.28,5,3,1,5
48,1,0.72,1,1,0,4
48,1,0.72,2,0,0,4
48,1,0.72,3,1,0,4
48,1,0.72,4,2,1,4
49,1,0.72,1,1,0,4
49,1,0.72,2,2,0,4
49,1,0.72,3,3,0,4
49,1,0.72,4,4,1,4
50,1,0.72,1,1,0,3
50,1,0.72,2,2,0,3
50,1,0.72,3,3,1,3
51,1,0.72,1,1,0,9
51,1,0.72,2,0,0,9
51,1,0.72,3,1,0,9
51,1,0.72,4,0,0,9
51,1,0.72,5,-1,0,9
51,1,0.72,6,0,0,9
51,1,0.72,7,1,0,9
51,1,0.72,8,2,0,9
51,1,0.72,9,1,1,9
52,1,0.28,1,1,0,6
52,1,0.28,2,-0,0,6
52,1,0.28,3,-1,0,6
52,1,0.28,4,-0,0,6
52,1,0.28,5,1,0,6
52,1,0.28,6,-0,1,6
53,1,0.72,1,1,0,4
53,1,0.72,2,2,0,4
53,1,0.72,3,3,0,4
53,1,0.72,4,4,1,4
54,1,0.28,1,-1,0,5
54,1,0.28,2,-0,0,5
54,1,0.28,3,1,0,5
54,1,0.28,4,2,0,5
54,1,0.28,5,3,1,5
55,1,0.72,1,1,0,5
55,1,0.72,2,2,0,5
55,1,0.72,3,1,0,5
55,1,0.72,4,2,0,5
55,1,0.72,5,3,1,5
56,1,0.72,1,1,0,4
56,1,0.72,2,2,0,4
56,1,0.72,3,3,0,4
56,1,0.72,4,4,1,4
57,1,0.28,1,1,0,3
57,1,0.28,2,2,0,3
57,1,0.28,3,3,1,3
58,1,0.72,1,1,0,2
58,1,0.72,2,2,1,2
59,1,0.28,1,1,0,4
59,1,0.28,2,2,0,4
59,1,0.28,3,3,0,4
59,1,0.28,4,2,1,4
60,1,0.72,1,1,0,3
60,1,0.72,2,2,0,3
60,1,0.72,3,3,1,3
61,1,0.28,1,1,0,7
61,1,0.28,2,-0,0,7
61,1,0.28,3,-1,0,7
61,1,0.28,4,-0,0,7
61,1,0.28,5,1,0,7
61,1,0.28,6,2,0,7
61,1,0.28,7,3,1,7
62,1,0.72,1,-1,0,5
62,1,0.72,2,0,0,5
62,1,0.72,3,1,0,5
62,1,0.72,4,2,0,5
62,1,0.72,5,3,1,5
63,1,0.72,1,1,0,2
63,1,0.72,2,2,1,2
1,2,0.5,1,1,0,10
1,2,0.5,2,0,0,10
1,2,0.5,3,1,0,10
1,2,0.5,4,0,0,10
1,2,0.5,5,1,0,10
1,2,0.5,6,2,0,10
1,2,0.5,7,1,0,10
1,2,0.5,8,2,0,10
1,2,0.5,9,3,0,10
1,2,0.5,10,4,1,10
2,2,0.5,1,1,0,5
2,2,0.5,2,-0,0,5
2,2,0.5,3,1,0,5
2,2,0.5,4,-0,0,5
2,2,0.5,5,1,1,5
3,2,0.5,1,-1,0,9
3,2,0.5,2,0,0,9
3,2,0.5,3,1,0,9
3,2,0.5,4,0,0,9
3,2,0.5,5,-1,0,9
3,2,0.5,6,0,0,9
3,2,0.5,7,1,0,9
3,2,0.5,8,2,0,9
3,2,0.5,9,1,1,9
4,2,0.5,1,1,0,6
4,2,0.5,2,0,0,6
4,2,0.5,3,1,0,6
4,2,0.5,4,0,0,6
4,2,0.5,5,1,0,6
4,2,0.5,6,2,1,6
5,2,0.5,1,-1,0,10
5,2,0.5,2,-2,0,10
5,2,0.5,3,-1,0,10
5,2,0.5,4,-0,0,10
5,2,0.5,5,1,0,10
5,2,0.5,6,2,0,10
5,2,0.5,7,3,0,10
5,2,0.5,8,4,0,10
5,2,0.5,9,5,0,10
5,2,0.5,10,4,1,10
6,2,0.5,1,-1,0,5
6,2,0.5,2,0,0,5
6,2,0.5,3,1,0,5
6,2,0.5,4,2,0,5
