trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,4
1,1,0.72,2,0,0,4
1,1,0.72,3,1,0,4
1,1,0.72,4,2,1,4
2,1,0.72,1,-1,0,4
2,1,0.72,2,-0,0,4
2,1,0.72,3,1,0,4
2,1,0.72,4,2,1,4
3,1,0.28,1,1,0,6
3,1,0.28,2,2,0,6
3,1,0.28,3,1,0,6
3,1,0.28,4,2,0,6
3,1,0.28,5,3,0,6
3,1,0.28,6,4,1,6
4,1,0.28,1,1,0,4
4,1,0.28,2,2,0,4
4,1,0.28,3,3,0,4
4,1,0.28,4,4,1,4
5,1,0.28,1,1,0,3
5,1,0.28,2,2,0,3
5,1,0.28,3,3,1,3
6,1,0.72,1,1,0,2
6,1,0.72,2,2,1,2
7,1,0.28,1,1,0,4
7,1,0.28,2,2,0,4
7,1,0.28,3,1,0,4
7,1,0.28,4,2,1,4
8,1,0.72,1,1,0,2
8,1,0.72,2,2,1,2
9,1,0.72,1,1,0,4
9,1,0.72,2,-0,0,4
9,1,0.72,3,1,0,4
9,1,0.72,4,2,1,4
10,1,0.28,1,1,0,3
10,1,0.28,2,2,0,3
10,1,0.28,3,3,1,3
11,1,0.72,1,1,0,3
11,1,0.72,2,2,0,3
11,1,0.72,3,1,1,3
12,1,0.72,1,-1,0,7
12,1,0.72,2,-2,0,7
12,1,0.72,3,-1,0,7
12,1,0.72,4,0,0,7
12,1,0.72,5,1,0,7
12,1,0.72,6,0,0,7
12,1,0.72,7,1,1,7
13,1,0.72,1,1,0,2
13,1,0.72,2,2,1,2
14,1,0.28,1,1,0,3
14,1,0.28,2,2,0,3
14,1,0.28,3,3,1,3
15,1,0.72,1,1,0,3
15,1,0.72,2,2,0,3
15,1,0.72,3,3,1,3
16,1,0.72,1,1,0,3
16,1,0.72,2,2,0,3
16,1,0.72,3,3,1,3
17,1,0.28,1,1,0,2
17,1,0.28,2,2,1,2
18,1,0.28,1,1,0,2
18,1,0.28,2,2,1,2
19,1,0.28,1,1,0,4
19,1,0.28,2,2,0,4
19,1,0.28,3,1,0,4
19,1,0.28,4,0,1,4
20,1,0.72,1,1,0,6
20,1,0.72,2,2,0,6
20,1,0.72,3,1,0,6
20,1,0.72,4,0,0,6
20,1,0.72,5,1,0,6
20,1,0.72,6,2,1,6
21,1,0.72,1,1,0,7
21,1,0.72,2,0,0,7
21,1,0.72,3,1,0,7
21,1,0.72,4,0,0,7
21,1,0.72,5,1,0,7
21,1,0.72,6,0,0,7
21,1,0.72,7,-1,1,7
22,1,0.28,1,1,0,4
22,1,0.28,2,0,0,4
22,1,0.28,3,1,0,4
22,1,0.28,4,2,1,4
23,1,0.72,1,1,0,2
23,1,0.72,2,-0,1,2
24,1,0.28,1,1,0,4
24,1,0.28,2,2,0,4
24,1,0.28,3,3,0,4
24,1,0.28,4,4,1,4
25,1,0.28,1,1,0,4
25,1,0.28,2,-0,0,4
25,1,0.28,3,1,0,4
25,1,0.28,4,2,1,4
26,1,0.28,1,1,1,1
27,1,0.72,1,1,0,2
27,1,0.72,2,2,1,2
28,1,0.72,1,1,0,3
28,1,0.72,2,2,0,3
28,1,0.72,3,3,1,3
29,1,0.28,1,1,0,4
29,1,0.28,2,-0,0,4
29,1,0.28,3,1,0,4
29,1,0.28,4,-0,1,4
30,1,0.28,1,1,0,2
30,1,0.28,2,2,1,2
31,1,0.72,1,1,0,3
31,1,0.72,2,2,0,3
31,1,0.72,3,1,1,3
32,1,0.72,1,1,1,1
33,1,0.72,1,1,0,2
33,1,0.72,2,2,1,2
34,1,0.28,1,1,0,3
34,1,0.28,2,-0,0,3
34,1,0.28,3,1,1,3
35,1,0.72,1,1,0,4
35,1,0.72,2,0,0,4
35,1,0.72,3,-1,0,4
35,1,0.72,4,0,1,4
36,1,0.28,1,1,0,2
36,1,0.28,2,2,1,2
37,1,0.28,1,1,0,2
37,1,0.28,2,2,1,2
38,1,0.72,1,1,1,1
39,1,0.72,1,1,1,1
40,1,0.72,1,-1,0,4
40,1,0.72,2,-0,0,4
40,1,0.72,3,1,0,4
40,1,0.72,4,2,1,4
41,1,0.28,1,1,0,3
41,1,0.28,2,-0,0,3
41,1,0.28,3,1,1,3
42,1,0.72,1,1,0,2
42,1,0.72,2,2,1,2
43,1,0.72,1,1,0,3
43,1,0.72,2,0,0,3
43,1,0.72,3,1,1,3
44,1,0.72,1,-1,0,3
44,1,0.72,2,-0,0,3
44,1,0.72,3,1,1,3
45,1,0.72,1,-1,0,7
45,1,0.72,2,-2,0,7
45,1,0.72,3,-1,0,7
45,1,0.72,4,-2,0,7
45,1,0.72,5,-1,0,7
45,1,0.72,6,0,0,7
45,1,0.72,7,1,1,7
46,1,0.28,1,1,0,6
46,1,0.28,2,2,0,6
46,1,0.28,3,1,0,6
46,1,0.28,4,2,0,6
46,1,0.28,5,3,0,6
46,1,0.28,6,4,1,6
47,1,0.72,1,-1,0,7
47,1,0.72,2,0,0,7
47,1,0.72,3,-1,0,7
47,1,0.72,4,0,0,7
47,1,0.72,5,-1,0,7
47,1,0.72,6,0,0,7
47,1,0.72,7,1,1,7
48,1,0.28,1,-1,0,4
48,1,0.28,2,-0,0,4
48,1,0.28,3,1,0,4
48,1,0.28,4,2,1,4
49,1,0.28,1,1,0,2
49,1,0.28,2,2,1,2
50,1,0.28,1,-1,0,5
50,1,0.28,2,0,0,5
50,1,0.28,3,-1,0,5
50,1,0.28,4,0,0,5
50,1,0.28,5,1,1,5
51,1,0.72,1,1,0,2
51,1,0.72,2,0,1,2
52,1,0.28,1,1,0,2
52,1,0.28,2,0,1,2
53,1,0.28,1,1,0,2
53,1,0.28,2,2,1,2
54,1,0.28,1,-1,0,3
54,1,0.28,2,-0,0,3
54,1,0.28,3,1,1,3
55,1,0.28,1,1,0,3
55,1,0.28,2,2,0,3
55,1,0.28,3,3,1,3
56,1,0.28,1,1,0,3
56,1,0.28,2,-0,0,3
56,1,0.28,3,1,1,3
57,1,0.28,1,1,0,2
57,1,0.28,2,2,1,2
58,1,0.72,1,1,0,2
58,1,0.72,2,2,1,2
59,1,0.28,1,-1,0,4
59,1,0.28,2,-0,0,4
59,1,0.28,3,1,0,4
59,1,0.28,4,2,1,4
60,1,0.72,1,1,0,2
60,1,0.72,2,2,1,2
61,1,0.28,1,1,0,2
61,1,0.28,2,2,1,2
62,1,0.28,1,1,0,4
62,1,0.28,2,2,0,4
62,1,0.28,3,1,0,4
62,1,0.28,4,2,1,4
63,1,0.72,1,-1,0,6
63,1,0.72,2,-0,0,6
63,1,0.72,3,1,0,6
63,1,0.72,4,-0,0,6
63,1,0.72,5,-1,0,6
63,1,0.72,6,-0,1,6
64,1,0.28,1,1,0,4
64,1,0.28,2,0,0,4
64,1,0.28,3,1,0,4
64,1,0.28,4,2,1,4
1,2,0.5,1,1,1,1
2,2,0.5,1,1,1,1
3,2,0.5,1,1,1,1
4,2,0.5,1,1,1,1
5,2,0.5,1,1,1,1
6,2,0.5,1,-1,1,1
7,2,0.5,1,1,1,1
8,2,0.5,1,1,0,2
8,2,0.5,2,-0,1,2
9,2,0.5,1,1,1,1
10,2,0.5,1,1,1,1
11,2,0.5,1,-1,0,3
11,2,0.5,2,-2,0,3
11,2,0.5,3,-3,1,3
12,2,0.5,1,1,1,1
13,2,0.5,1,1,0,5
13,2,0.5,2,0,0,5
13,2,0.5,3,1,0,5
13,2,0.5,4,0,0,5
13,2,0.5,5,1,1,5
14,2,0.5,1,-1,0,2
14,2,0.5,2,0,1,2
15,2,0.5,1,1,0,7
15,2,0.5,2,0,0,7
15,2,0.5,3,-1,0,7
15,2,0.5,4,-2,0,7
15,2,0.5,5,-1,0,7
15,2,0.5,6,-2,0,7
15,2,0.5,7,-1,1,7
16,2,0.5,1,1,1,1
17,2,0.5,1,1,0,2
17,2,0.5,2,0,1,2
18,2,0.5,1,-1,0,2
18,2,0.5,2,-2,1,2
19,2,0.5,1,-1,0,2
19,2,0.5,2,-2,1,2
20,2,0.5,1,1,0,2
20,2,0.5,2,2,1,2
21,2,0.5,1,1,0,2
21,2,0.5,2,2,1,2
22,2,0.5,1,1,0,2
22,2,0.5,2,-0,1,2
23,2,0.5,1,1,0,2
23,2,0.5,2,2,1,2
24,2,0.5,1,1,0,2
24,2,0.5,2,2,1,2
25,2,0.5,1,1,1,1
26,2,0.5,1,1,0,3
26,2,0.5,2,2,0,3
26,2,0.5,3,1,1,3
27,2,0.5,1,1,0,4
27,2,0.5,2,0,0,4
27,2,0.5,3,1,0,4
27,2,0.5,4,0,1,4
28,2,0.5,1,1,1,1
29,2,0.5,1,1,1,1
30,2,0.5,1,1,0,2
30,2,0.5,2,2,1,2
31,2,0.5,1,-1,0,2
31,2,0.5,2,-2,1,2
32,2,0.5,1,1,0,2
32,2,0.5,2,-0,1,2
1,3,0.5,1,-1,0,4
1,3,0.5,2,-0,0,4
1,3,0.5,3,1,0,4
1,3,0.5,4,2,1,4
2,3,0.28,1,1,0,2
2,3,0.28,2,2,1,2
3,3,0.5,1,1,0,2
3,3,0.5,2,-0,1,2
4,3,0.5,1,-1,1,1
5,3,0.5,1,-1,0,2
5,3,0.5,2,-2,1,2
6,3,0.5,1,1,1,1
7,3,0.5,1,1,1,1
8,3,0.28,1,-1,1,1
9,3,0.5,1,-1,1,1
10,3,0.5,1,1,0,2
10,3,0.5,2,2,1,2
11,3,0.5,1,-1,1,1
12,3,0.28,1,1,0,2
12,3,0.28,2,0,1,2
13,3,0.5,1,-1,1,1
