condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.28,1,1,1,5,1.3123
1,1,0.28,1,0,1,2,0.62672
1,1,0.72,0,1,1,3,0.89064
1,1,0.72,0,3,3,3,0.89843
1,1,0.28,1,-2,-2,4,1.116
1,1,0.28,1,-2,-2,2,0.62347
1,1,0.28,1,-2,-2,2,0.64837
1,1,0.28,1,-1,-1,1,0.48407
1,1,0.72,0,0,1,4,1.0659
1,1,0.72,0,1,1,3,0.90376
1,1,0.28,0,2,2,2,0.65252
1,1,0.28,1,-2,-2,2,0.68843
1,1,0.28,1,-2,-2,2,0.64328
1,1,0.28,1,-5,-5,7,1.7214
1,1,0.28,1,-1,-1,3,0.87086
1,1,0.28,0,1,1,1,0.48658
1,2,0.28,1,-2,-2,2,0.69789
1,2,0.28,1,-2,-2,2,0.66816
1,2,0.28,0,2,2,4,1.1235
1,2,0.72,0,1,1,3,0.92865
1,2,0.28,1,-2,-2,2,0.62791
1,2,0.28,1,-2,-2,2,0.64375
1,2,0.28,1,-2,-2,2,0.71016
1,2,0.72,0,2,2,2,0.61671
1,2,0.28,1,-1,-1,1,0.49805
1,2,0.72,0,1,1,3,0.88414
1,2,0.72,0,2,2,4,1.0816
1,2,0.28,0,1,1,5,1.3105
1,2,0.28,1,-2,-2,2,0.71865
1,2,0.72,0,1,1,3,0.87597
1,2,0.72,0,4,4,4,1.1457
1,2,0.28,1,-3,-3,3,0.91519
1,3,0.28,1,-2,-2,2,0.70534
1,3,0.28,1,-2,-2,2,0.70469
1,3,0.28,1,-2,-2,2,0.63782
1,3,0.28,0,1,1,5,1.2912
1,3,0.28,0,3,3,3,0.93117
1,3,0.28,1,-2,-2,4,1.1216
1,3,0.28,1,-2,-2,2,0.67187
1,3,0.72,0,2,2,2,0.66336
1,3,0.72,0,2,2,2,0.65703
1,3,0.72,0,1,1,1,0.50618
1,3,0.72,0,1,1,1,0.46527
1,3,0.28,0,1,1,1,0.46753
1,3,0.72,1,-2,-2,2,0.68248
1,3,0.28,1,-1,-1,1,0.47255
1,3,0.72,0,2,2,2,0.67966
1,3,0.28,1,-1,-1,3,0.91406
1,4,0.28,1,-1,-1,1,0.45335
1,4,0.72,0,2,2,2,0.66481
1,4,0.28,0,1,1,1,0.50615
1,4,0.72,0,2,2,2,0.71817
1,4,0.28,1,-1,-1,1,0.44678
1,4,0.72,0,1,1,1,0.50688
1,4,0.72,0,1,1,1,0.51385
1,4,0.28,1,-2,-2,2,0.64191
1,4,0.28,1,-1,-1,1,0.50813
1,4,0.72,0,1,1,1,0.46234
1,4,0.28,1,-1,-1,1,0.44021
1,4,0.72,0,1,1,1,0.49371
1,4,0.72,0,2,2,2,0.71012
1,4,0.28,1,-1,-1,1,0.46434
1,4,0.28,1,-1,-1,3,0.87384
1,4,0.28,1,-1,-1,1,0.47391
2,1,0.5,1,1,1,1,0.45307
2,1,0.5,1,1,1,1,0.46437
2,1,0.5,1,1,1,1,0.43344
2,1,0.5,1,-1,-1,1,0.49907
2,1,0.5,0,1,1,1,0.49259
