"slopes_e","intercepts_e","slopes_m","intercepts_m"
-0.147864723273353,3.75775495539532,-0.682993406996522,5.04895157238442
0.13946840729738,6.13617773433395,-0.842869758704991,80.1016303275224
-0.281879215679613,4.81009634808646,-0.0188484897352348,5.59420047067701
0.0429557011895298,4.07585576228148,0.10534346723836,6.21865612696921
-0.186665547291667,4.98876133471134,-0.324995111848733,3.43280924724424
-0.299727744085933,5.01471384252242,-0.11069952337223,5.45870117897871
0.0277751279635716,2.28485534800754,-1.78765024289199,6.63636707111224
0.131945074346537,2.13079067721154,-0.490656769357629,3.33688961220382
-0.363239983533551,4.68612286256498,-0.313389376561089,5.89721352105316
-0.471317939078869,1.87303437428561,-0.010758375913914,0.897663195184845
-1.58101820178125,8.97813058308112,-0.756994429860754,3.92342371346378
-0.401655230909344,2.4977404257746,-0.729337286013075,3.78552109256619
-0.49199094974904,1.46612714754648,-22995974959.5484,20813312920.0842
-0.237474583701739,1.83530757021078,-0.794949369005592,2.20245673165415
-0.802381277369295,3.88034153753123,-1.94311127272815,9.23221666156273
-1.16811242947665,4.35322004339679,-0.71787741143924,4.63832371318911
-0.705463319501955,4.10917098380408,-1.76757994265295,6.93643604591959
-0.0650466240616076,2.61817400801558,-21.2246356555932,38.9736942437804
