condition,block,coherence,decision,evidence,high_evidence,time,rt
1,4,0.72,0,3,3,3,0.46358
1,4,0.28,1,1,1,5,0.55693
2,3,0.5,1,0,1,4,0.50892
2,3,0.5,0,0,1,4,0.54954
2,3,0.5,0,-2,-2,2,0.39669
3,1,0.72,0,1,2,3,0.46358
3,1,0.5,0,1,1,7,0.66143
3,1,0.5,0,-2,-2,8,0.65148
3,1,0.72,0,3,3,3,0.42692
3,1,0.5,1,-1,-1,1,0.36766
3,1,0.5,1,-2,-2,2,0.41528
3,1,0.5,0,2,2,2,0.37507
3,1,0.5,0,0,1,4,0.51059
3,1,0.5,0,1,2,5,0.54711
3,1,0.28,1,-1,-1,7,0.62836
3,1,0.5,1,-2,-2,2,0.44038
3,1,0.5,1,-2,-2,2,0.40237
3,1,0.5,0,0,1,2,0.37216
3,1,0.5,1,-2,-2,2,0.40415
3,1,0.5,0,2,2,2,0.39737
3,1,0.5,0,2,2,2,0.39157
3,1,0.72,0,1,1,1,0.39356
3,1,0.5,0,0,1,4,0.50127
3,1,0.72,0,1,1,1,0.35541
3,1,0.5,1,-2,-2,2,0.40742
3,1,0.28,0,1,1,1,0.3672
3,1,0.5,1,-2,-2,2,0.40701
3,1,0.5,0,1,1,1,0.35119
3,1,0.5,1,-2,-2,2,0.41878
3,1,0.28,1,-4,-4,4,0.46425
3,1,0.5,0,1,1,1,0.3584
3,1,0.72,0,1,1,1,0.35256
3,1,0.5,0,2,2,2,0.38015
3,1,0.5,0,1,1,1,0.39434
3,1,0.72,0,1,1,1,0.39753
3,1,0.5,1,-3,-3,5,0.51186
3,1,0.5,0,1,1,3,0.46732
3,1,0.5,1,-2,-2,4,0.55947
3,1,0.5,0,-1,-2,7,0.64172
3,1,0.5,0,1,1,3,0.47498
3,1,0.5,1,-1,-2,3,0.47926
3,1,0.5,0,0,1,4,0.47255
3,2,0.72,0,2,2,2,0.41819
3,2,0.28,1,-4,-4,6,0.61605
3,2,0.5,1,-3,-3,7,0.63827
3,2,0.72,0,3,3,3,0.46373
3,2,0.72,1,-3,-3,3,0.42137
3,2,0.5,1,1,1,7,0.62799
3,2,0.5,1,-1,-2,7,0.69586
3,2,0.28,1,-3,-3,5,0.58926
3,2,0.5,1,-2,-2,6,0.5536
3,2,0.72,0,1,2,3,0.4769
3,2,0.5,0,3,3,5,0.57467
3,2,0.28,1,-3,-3,5,0.55119
3,2,0.5,1,1,2,5,0.63463
3,2,0.72,0,2,2,2,0.43009
3,2,0.5,0,3,3,3,0.4587
3,2,0.28,1,0,1,2,0.45637
3,2,0.5,0,0,1,2,0.43839
3,2,0.5,0,1,2,5,0.5596
3,2,0.72,0,1,2,5,0.58615
3,2,0.5,0,2,2,2,0.4538
3,2,0.5,0,2,2,6,0.5816
3,2,0.5,1,-3,-3,3,0.46705
3,2,0.28,1,-2,-2,2,0.44692
3,2,0.72,0,3,3,3,0.42334
3,2,0.5,1,-2,-2,2,0.42875
3,2,0.5,1,-1,-1,3,0.49651
3,2,0.28,1,0,2,4,0.47854
3,2,0.5,0,0,1,4,0.56851
3,2,0.72,0,2,2,2,0.42491
3,2,0.28,1,-2,-2,2,0.43817
3,2,0.28,1,-2,-2,2,0.43239
3,2,0.72,0,2,2,2,0.44442
3,2,0.5,0,1,1,1,0.38983
3,2,0.5,1,-3,-3,3,0.44969
3,2,0.5,0,2,2,2,0.40168
3,2,0.5,1,-2,-2,2,0.42713
3,3,0.5,0,2,2,4,0.51893
3,3,0.5,1,-1,-2,3,0.43317
3,3,0.5,1,-2,-2,4,0.50086
3,3,0.72,0,4,4,6,0.58645
3,3,0.5,0,2,2,4,0.51076
3,3,0.72,0,0,1,2,0.4262
3,3,0.72,0,1,2,5,0.51834
3,3,0.5,0,2,2,2,0.41592
3,3,0.5,1,-1,-2,3,0.45362
3,3,0.5,1,0,1,6,0.598
3,3,0.5,1,-3,-3,3,0.48789
3,3,0.28,1,-3,-3,3,0.46334
3,3,0.72,0,2,2,2,0.38973
3,3,0.5,0,2,2,2,0.42518
3,3,0.5,1,0,1,2,0.43935
3,3,0.28,0,2,2,6,0.59281
3,3,0.5,1,0,2,6,0.65284
3,3,0.5,1,-4,-4,4,0.54838
3,3,0.5,0,2,2,2,0.40036
3,3,0.72,0,3,3,5,0.5938
3,3,0.5,0,2,2,2,0.40579
3,3,0.5,0,1,1,1,0.32553
3,3,0.5,0,-1,-1,3,0.47197
3,3,0.72,0,1,1,1,0.34734
3,3,0.5,1,-1,-1,3,0.43157
3,3,0.5,1,-2,-2,2,0.4436
3,3,0.72,0,2,2,4,0.52573
3,3,0.5,0,2,2,2,0.4368
3,3,0.72,0,2,2,2,0.42319
3,3,0.5,0,1,1,1,0.38302
3,3,0.5,0,1,1,1,0.39499
3,3,0.5,0,2,2,4,0.55055
3,3,0.5,1,1,2,5,0.63499
3,3,0.28,1,-2,-2,2,0.44607
3,3,0.5,0,0,1,4,0.49472
3,3,0.5,0,-2,-2,6,0.59032
3,3,0.5,0,2,2,2,0.44237
3,4,0.72,0,2,2,6,0.64707
3,4,0.28,1,-3,-3,7,0.70374
3,4,0.72,0,2,2,6,0.58932
3,4,0.5,0,2,2,2,0.41693
3,4,0.28,1,-1,-2,3,0.46342
3,4,0.5,0,1,1,3,0.44448
3,4,0.28,1,-1,-1,3,0.48654
3,4,0.28,1,-2,-2,2,0.43859
3,4,0.28,1,-3,-3,3,0.41623
3,4,0.72,0,2,2,2,0.45387
3,4,0.5,0,-1,-1,3,0.47814
3,4,0.28,0,0,1,2,0.40015
3,4,0.5,1,-2,-2,2,0.42557
3,4,0.72,0,2,2,4,0.53429
3,4,0.5,0,2,2,6,0.63774
3,4,0.5,0,1,1,3,0.48763
3,4,0.28,1,-1,-1,3,0.51095
3,4,0.5,1,-1,-2,3,0.45962
3,4,0.5,0,2,2,2,0.41722
3,4,0.5,1,0,1,4,0.52714
3,4,0.5,1,0,1,6,0.67063
3,4,0.72,0,1,1,3,0.49833
3,4,0.5,0,2,2,2,0.43255
3,4,0.5,0,1,1,3,0.50808
3,4,0.5,1,-2,-2,4,0.54459
3,4,0.28,1,-1,-2,5,0.5902
3,4,0.72,0,2,2,2,0.41781
3,4,0.5,1,-3,-3,3,0.43204
3,4,0.5,0,2,2,2,0.40403
3,4,0.28,1,-2,-2,2,0.40605
3,4,0.72,0,-1,-1,3,0.46934
3,4,0.72,0,1,1,1,0.3691
3,4,0.5,1,1,1,3,0.43308
3,4,0.5,0,1,1,1,0.37283
3,4,0.5,0,1,1,1,0.34039
3,4,0.28,0,2,2,2,0.419
