trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,-1,0,7
1,1,0.72,2,-2,0,7
1,1,0.72,3,-1,0,7
1,1,0.72,4,-2,0,7
1,1,0.72,5,-3,0,7
1,1,0.72,6,-4,0,7
1,1,0.72,7,-3,1,7
2,1,0.28,1,-1,0,4
2,1,0.28,2,0,0,4
2,1,0.28,3,-1,0,4
2,1,0.28,4,0,1,4
3,1,0.28,1,1,0,8
3,1,0.28,2,-0,0,8
3,1,0.28,3,1,0,8
3,1,0.28,4,2,0,8
3,1,0.28,5,1,0,8
3,1,0.28,6,2,0,8
3,1,0.28,7,3,0,8
3,1,0.28,8,4,1,8
4,1,0.28,1,1,0,3
4,1,0.28,2,0,0,3
4,1,0.28,3,-1,1,3
5,1,0.28,1,-1,0,2
5,1,0.28,2,-0,1,2
6,1,0.72,1,-1,0,14
6,1,0.72,2,-2,0,14
6,1,0.72,3,-1,0,14
6,1,0.72,4,-2,0,14
6,1,0.72,5,-1,0,14
6,1,0.72,6,-2,0,14
6,1,0.72,7,-1,0,14
6,1,0.72,8,-2,0,14
6,1,0.72,9,-1,0,14
6,1,0.72,10,0,0,14
6,1,0.72,11,1,0,14
6,1,0.72,12,2,0,14
6,1,0.72,13,3,0,14
6,1,0.72,14,4,1,14
7,1,0.72,1,1,0,6
7,1,0.72,2,-0,0,6
7,1,0.72,3,-1,0,6
7,1,0.72,4,-2,0,6
7,1,0.72,5,-1,0,6
7,1,0.72,6,-2,1,6
8,1,0.72,1,-1,0,4
8,1,0.72,2,-2,0,4
8,1,0.72,3,-1,0,4
8,1,0.72,4,-0,1,4
9,1,0.28,1,-1,0,9
9,1,0.28,2,-2,0,9
9,1,0.28,3,-3,0,9
9,1,0.28,4,-2,0,9
9,1,0.28,5,-3,0,9
9,1,0.28,6,-2,0,9
9,1,0.28,7,-3,0,9
9,1,0.28,8,-4,0,9
9,1,0.28,9,-3,1,9
10,1,0.72,1,1,0,2
10,1,0.72,2,2,1,2
11,1,0.72,1,1,1,1
12,1,0.28,1,1,0,3
12,1,0.28,2,-0,0,3
12,1,0.28,3,1,1,3
13,1,0.72,1,1,1,1
14,1,0.72,1,1,0,5
14,1,0.72,2,2,0,5
14,1,0.72,3,3,0,5
14,1,0.72,4,2,0,5
14,1,0.72,5,1,1,5
15,1,0.28,1,-1,0,2
15,1,0.28,2,-2,1,2
16,1,0.72,1,-1,1,1
17,1,0.28,1,-1,0,3
17,1,0.28,2,-2,0,3
17,1,0.28,3,-3,1,3
18,1,0.28,1,-1,1,1
19,1,0.28,1,-1,1,1
20,1,0.28,1,1,0,2
20,1,0.28,2,2,1,2
21,1,0.72,1,-1,0,4
21,1,0.72,2,-2,0,4
21,1,0.72,3,-3,0,4
21,1,0.72,4,-4,1,4
22,1,0.28,1,-1,0,8
22,1,0.28,2,-0,0,8
22,1,0.28,3,1,0,8
22,1,0.28,4,2,0,8
22,1,0.28,5,3,0,8
22,1,0.28,6,4,0,8
22,1,0.28,7,3,0,8
22,1,0.28,8,2,1,8
23,1,0.72,1,-1,0,5
23,1,0.72,2,-2,0,5
23,1,0.72,3,-3,0,5
23,1,0.72,4,-4,0,5
23,1,0.72,5,-3,1,5
24,1,0.72,1,1,1,1
25,1,0.72,1,1,0,2
25,1,0.72,2,2,1,2
26,1,0.72,1,-1,0,4
26,1,0.72,2,0,0,4
26,1,0.72,3,1,0,4
26,1,0.72,4,2,1,4
27,1,0.28,1,1,0,5
27,1,0.28,2,2,0,5
27,1,0.28,3,1,0,5
27,1,0.28,4,-0,0,5
27,1,0.28,5,-1,1,5
28,1,0.72,1,1,1,1
29,1,0.28,1,1,0,4
29,1,0.28,2,2,0,4
29,1,0.28,3,3,0,4
29,1,0.28,4,4,1,4
30,1,0.28,1,1,0,3
30,1,0.28,2,-0,0,3
30,1,0.28,3,1,1,3
1,2,0.5,1,1,0,3
1,2,0.5,2,2,0,3
1,2,0.5,3,1,1,3
2,2,0.5,1,1,0,2
2,2,0.5,2,0,1,2
3,2,0.5,1,1,1,1
4,2,0.5,1,1,0,3
4,2,0.5,2,-0,0,3
4,2,0.5,3,-1,1,3
5,2,0.5,1,-1,1,1
6,2,0.5,1,-1,0,2
6,2,0.5,2,-2,1,2
7,2,0.5,1,-1,0,2
7,2,0.5,2,-0,1,2
8,2,0.5,1,-1,1,1
9,2,0.5,1,-1,0,9
