trial,condition,coherence,time,evidence,action,rt
1,1,0.28,1,1,0,3
1,1,0.28,2,2,0,3
1,1,0.28,3,3,1,3
2,1,0.72,1,1,1,1
3,1,0.72,1,1,0,3
3,1,0.72,2,-0,0,3
3,1,0.72,3,-1,1,3
4,1,0.72,1,1,0,4
4,1,0.72,2,2,0,4
4,1,0.72,3,3,0,4
4,1,0.72,4,4,1,4
5,1,0.72,1,1,0,3
5,1,0.72,2,2,0,3
5,1,0.72,3,1,1,3
6,1,0.28,1,1,0,3
6,1,0.28,2,-0,0,3
6,1,0.28,3,-1,1,3
7,1,0.72,1,1,0,4
7,1,0.72,2,2,0,4
7,1,0.72,3,3,0,4
7,1,0.72,4,4,1,4
8,1,0.72,1,1,0,2
8,1,0.72,2,2,1,2
9,1,0.72,1,-1,0,5
9,1,0.72,2,0,0,5
9,1,0.72,3,-1,0,5
9,1,0.72,4,0,0,5
9,1,0.72,5,1,1,5
10,1,0.72,1,1,0,5
10,1,0.72,2,0,0,5
10,1,0.72,3,1,0,5
10,1,0.72,4,2,0,5
10,1,0.72,5,3,1,5
11,1,0.72,1,1,0,3
11,1,0.72,2,0,0,3
11,1,0.72,3,1,1,3
12,1,0.28,1,1,0,3
12,1,0.28,2,2,0,3
12,1,0.28,3,3,1,3
13,1,0.28,1,-1,0,4
13,1,0.28,2,-2,0,4
13,1,0.28,3,-1,0,4
13,1,0.28,4,0,1,4
14,1,0.28,1,1,0,3
14,1,0.28,2,2,0,3
14,1,0.28,3,3,1,3
15,1,0.28,1,1,0,4
15,1,0.28,2,-0,0,4
15,1,0.28,3,1,0,4
15,1,0.28,4,2,1,4
16,1,0.28,1,1,0,2
16,1,0.28,2,2,1,2
17,1,0.72,1,1,1,1
18,1,0.72,1,1,0,2
18,1,0.72,2,2,1,2
19,1,0.72,1,1,0,4
19,1,0.72,2,2,0,4
19,1,0.72,3,1,0,4
19,1,0.72,4,-0,1,4
20,1,0.28,1,-1,0,3
20,1,0.28,2,-2,0,3
20,1,0.28,3,-1,1,3
21,1,0.28,1,1,0,4
21,1,0.28,2,2,0,4
21,1,0.28,3,3,0,4
21,1,0.28,4,4,1,4
22,1,0.28,1,-1,0,6
22,1,0.28,2,-0,0,6
22,1,0.28,3,1,0,6
22,1,0.28,4,2,0,6
22,1,0.28,5,1,0,6
22,1,0.28,6,2,1,6
23,1,0.72,1,1,0,2
23,1,0.72,2,2,1,2
24,1,0.28,1,1,0,3
24,1,0.28,2,2,0,3
24,1,0.28,3,3,1,3
25,1,0.28,1,1,0,2
25,1,0.28,2,-0,1,2
26,1,0.72,1,1,0,3
26,1,0.72,2,2,0,3
26,1,0.72,3,1,1,3
27,1,0.28,1,-1,0,4
27,1,0.28,2,-0,0,4
27,1,0.28,3,1,0,4
27,1,0.28,4,2,1,4
28,1,0.28,1,1,0,3
28,1,0.28,2,2,0,3
28,1,0.28,3,3,1,3
29,1,0.72,1,1,0,3
29,1,0.72,2,2,0,3
29,1,0.72,3,1,1,3
30,1,0.72,1,1,0,4
30,1,0.72,2,2,0,4
30,1,0.72,3,3,0,4
30,1,0.72,4,4,1,4
31,1,0.72,1,1,0,2
31,1,0.72,2,2,1,2
32,1,0.72,1,1,0,4
32,1,0.72,2,2,0,4
32,1,0.72,3,3,0,4
32,1,0.72,4,4,1,4
33,1,0.72,1,1,0,3
33,1,0.72,2,2,0,3
33,1,0.72,3,3,1,3
34,1,0.72,1,1,0,2
34,1,0.72,2,2,1,2
35,1,0.72,1,1,0,2
35,1,0.72,2,2,1,2
36,1,0.28,1,1,0,3
36,1,0.28,2,2,0,3
36,1,0.28,3,3,1,3
37,1,0.28,1,1,0,3
37,1,0.28,2,-0,0,3
37,1,0.28,3,1,1,3
38,1,0.72,1,1,0,3
38,1,0.72,2,2,0,3
38,1,0.72,3,1,1,3
39,1,0.72,1,1,0,5
39,1,0.72,2,-0,0,5
39,1,0.72,3,-1,0,5
39,1,0.72,4,-0,0,5
39,1,0.72,5,-1,1,5
40,1,0.72,1,1,0,5
40,1,0.72,2,-0,0,5
40,1,0.72,3,1,0,5
40,1,0.72,4,2,0,5
40,1,0.72,5,3,1,5
41,1,0.72,1,-1,0,13
41,1,0.72,2,-0,0,13
41,1,0.72,3,-1,0,13
41,1,0.72,4,-2,0,13
41,1,0.72,5,-1,0,13
41,1,0.72,6,-0,0,13
41,1,0.72,7,1,0,13
41,1,0.72,8,-0,0,13
41,1,0.72,9,-1,0,13
41,1,0.72,10,-2,0,13
41,1,0.72,11,-1,0,13
41,1,0.72,12,-0,0,13
41,1,0.72,13,-1,1,13
42,1,0.72,1,1,0,7
42,1,0.72,2,2,0,7
42,1,0.72,3,1,0,7
42,1,0.72,4,2,0,7
42,1,0.72,5,1,0,7
42,1,0.72,6,2,0,7
42,1,0.72,7,3,1,7
43,1,0.72,1,-1,0,11
43,1,0.72,2,0,0,11
43,1,0.72,3,-1,0,11
43,1,0.72,4,-2,0,11
