trial,condition,coherence,time,evidence,action,rt
1,1,0.28,1,1,0,6
1,1,0.28,2,2,0,6
1,1,0.28,3,1,0,6
1,1,0.28,4,-0,0,6
1,1,0.28,5,1,0,6
1,1,0.28,6,2,1,6
2,1,0.72,1,1,0,6
2,1,0.72,2,2,0,6
2,1,0.72,3,3,0,6
2,1,0.72,4,2,0,6
2,1,0.72,5,3,0,6
2,1,0.72,6,2,1,6
3,1,0.28,1,1,0,5
3,1,0.28,2,2,0,5
3,1,0.28,3,3,0,5
3,1,0.28,4,2,0,5
3,1,0.28,5,3,1,5
4,1,0.28,1,1,0,4
4,1,0.28,2,2,0,4
4,1,0.28,3,1,0,4
4,1,0.28,4,2,1,4
5,1,0.72,1,-1,0,4
5,1,0.72,2,0,0,4
5,1,0.72,3,1,0,4
5,1,0.72,4,2,1,4
6,1,0.28,1,-1,0,6
6,1,0.28,2,0,0,6
6,1,0.28,3,-1,0,6
6,1,0.28,4,-2,0,6
6,1,0.28,5,-1,0,6
6,1,0.28,6,0,1,6
7,1,0.28,1,1,0,5
7,1,0.28,2,2,0,5
7,1,0.28,3,1,0,5
7,1,0.28,4,2,0,5
7,1,0.28,5,3,1,5
8,1,0.28,1,1,0,8
8,1,0.28,2,0,0,8
8,1,0.28,3,1,0,8
8,1,0.28,4,0,0,8
8,1,0.28,5,1,0,8
8,1,0.28,6,2,0,8
8,1,0.28,7,3,0,8
8,1,0.28,8,2,1,8
9,1,0.28,1,1,0,6
9,1,0.28,2,2,0,6
9,1,0.28,3,3,0,6
9,1,0.28,4,2,0,6
9,1,0.28,5,3,0,6
9,1,0.28,6,4,1,6
10,1,0.28,1,1,0,6
10,1,0.28,2,2,0,6
10,1,0.28,3,3,0,6
10,1,0.28,4,4,0,6
10,1,0.28,5,3,0,6
10,1,0.28,6,4,1,6
11,1,0.72,1,1,0,11
11,1,0.72,2,0,0,11
11,1,0.72,3,1,0,11
11,1,0.72,4,2,0,11
11,1,0.72,5,3,0,11
11,1,0.72,6,4,0,11
11,1,0.72,7,5,0,11
11,1,0.72,8,6,0,11
11,1,0.72,9,7,0,11
11,1,0.72,10,6,0,11
11,1,0.72,11,7,1,11
12,1,0.72,1,-1,0,11
12,1,0.72,2,0,0,11
12,1,0.72,3,-1,0,11
12,1,0.72,4,0,0,11
12,1,0.72,5,1,0,11
12,1,0.72,6,0,0,11
12,1,0.72,7,-1,0,11
12,1,0.72,8,0,0,11
12,1,0.72,9,1,0,11
12,1,0.72,10,2,0,11
12,1,0.72,11,3,1,11
13,1,0.72,1,1,0,5
13,1,0.72,2,2,0,5
13,1,0.72,3,3,0,5
13,1,0.72,4,4,0,5
13,1,0.72,5,3,1,5
14,1,0.72,1,1,0,3
14,1,0.72,2,2,0,3
14,1,0.72,3,3,1,3
15,1,0.72,1,1,0,3
15,1,0.72,2,2,0,3
15,1,0.72,3,3,1,3
16,1,0.28,1,1,0,9
16,1,0.28,2,-0,0,9
16,1,0.28,3,-1,0,9
16,1,0.28,4,-0,0,9
16,1,0.28,5,1,0,9
16,1,0.28,6,2,0,9
16,1,0.28,7,3,0,9
16,1,0.28,8,4,0,9
16,1,0.28,9,5,1,9
17,1,0.28,1,1,0,4
17,1,0.28,2,-0,0,4
17,1,0.28,3,1,0,4
17,1,0.28,4,2,1,4
18,1,0.72,1,-1,0,8
18,1,0.72,2,-2,0,8
18,1,0.72,3,-1,0,8
18,1,0.72,4,0,0,8
18,1,0.72,5,1,0,8
18,1,0.72,6,2,0,8
18,1,0.72,7,3,0,8
18,1,0.72,8,4,1,8
19,1,0.28,1,1,0,5
19,1,0.28,2,2,0,5
19,1,0.28,3,1,0,5
19,1,0.28,4,2,0,5
19,1,0.28,5,1,1,5
20,1,0.28,1,1,0,6
20,1,0.28,2,-0,0,6
20,1,0.28,3,-1,0,6
20,1,0.28,4,-0,0,6
20,1,0.28,5,1,0,6
20,1,0.28,6,2,1,6
21,1,0.72,1,1,0,3
21,1,0.72,2,2,0,3
21,1,0.72,3,3,1,3
22,1,0.28,1,-1,0,8
22,1,0.28,2,0,0,8
22,1,0.28,3,1,0,8
22,1,0.28,4,0,0,8
22,1,0.28,5,1,0,8
22,1,0.28,6,2,0,8
22,1,0.28,7,1,0,8
22,1,0.28,8,2,1,8
23,1,0.72,1,1,0,6
23,1,0.72,2,0,0,6
23,1,0.72,3,1,0,6
23,1,0.72,4,0,0,6
23,1,0.72,5,1,0,6
23,1,0.72,6,2,1,6
24,1,0.28,1,1,0,3
24,1,0.28,2,2,0,3
24,1,0.28,3,1,1,3
25,1,0.28,1,-1,0,7
25,1,0.28,2,-0,0,7
25,1,0.28,3,-1,0,7
25,1,0.28,4,-2,0,7
25,1,0.28,5,-1,0,7
25,1,0.28,6,-0,0,7
25,1,0.28,7,1,1,7
26,1,0.72,1,1,0,5
26,1,0.72,2,2,0,5
26,1,0.72,3,3,0,5
26,1,0.72,4,2,0,5
26,1,0.72,5,3,1,5
27,1,0.72,1,1,0,5
27,1,0.72,2,2,0,5
27,1,0.72,3,3,0,5
27,1,0.72,4,4,0,5
27,1,0.72,5,5,1,5
28,1,0.72,1,1,0,3
28,1,0.72,2,2,0,3
28,1,0.72,3,3,1,3
29,1,0.72,1,1,0,4
29,1,0.72,2,2,0,4
29,1,0.72,3,3,0,4
29,1,0.72,4,4,1,4
30,1,0.72,1,1,0,2
30,1,0.72,2,2,1,2
31,1,0.28,1,1,0,5
31,1,0.28,2,2,0,5
31,1,0.28,3,3,0,5
31,1,0.28,4,2,0,5
31,1,0.28,5,3,1,5
32,1,0.28,1,1,0,3
32,1,0.28,2,2,0,3
32,1,0.28,3,3,1,3
33,1,0.72,1,1,0,4
33,1,0.72,2,0,0,4
33,1,0.72,3,1,0,4
33,1,0.72,4,2,1,4
34,1,0.28,1,-1,0,5
34,1,0.28,2,-0,0,5
34,1,0.28,3,1,0,5
34,1,0.28,4,-0,0,5
34,1,0.28,5,1,1,5
35,1,0.72,1,-1,0,11
35,1,0.72,2,-2,0,11
35,1,0.72,3,-1,0,11
35,1,0.72,4,0,0,11
35,1,0.72,5,1,0,11
35,1,0.72,6,0,0,11
35,1,0.72,7,1,0,11
35,1,0.72,8,2,0,11
35,1,0.72,9,3,0,11
35,1,0.72,10,4,0,11
35,1,0.72,11,5,1,11
36,1,0.72,1,-1,0,4
36,1,0.72,2,0,0,4
36,1,0.72,3,1,0,4
36,1,0.72,4,2,1,4
37,1,0.28,1,1,0,3
37,1,0.28,2,2,0,3
37,1,0.28,3,3,1,3
38,1,0.72,1,1,0,6
38,1,0.72,2,2,0,6
38,1,0.72,3,1,0,6
38,1,0.72,4,2,0,6
38,1,0.72,5,3,0,6
38,1,0.72,6,4,1,6
39,1,0.28,1,1,0,4
39,1,0.28,2,2,0,4
39,1,0.28,3,3,0,4
39,1,0.28,4,4,1,4
40,1,0.28,1,1,0,4
40,1,0.28,2,2,0,4
40,1,0.28,3,3,0,4
40,1,0.28,4,4,1,4
41,1,0.72,1,1,0,4
41,1,0.72,2,2,0,4
41,1,0.72,3,3,0,4
41,1,0.72,4,2,1,4
42,1,0.72,1,-1,0,9
42,1,0.72,2,0,0,9
42,1,0.72,3,1,0,9
