"slopes_e","intercepts_e","slopes_m","intercepts_m"
-0.754097551986191,7.27408718391284,-0.306898638929932,5.45661078193871
-0.552587840581871,6.16764553962931,-0.838321180528131,4.39585026262389
-0.105318018988027,3.06320501183049,-0.277604949504782,4.97567366636843
-0.296052478920673,3.93311288348276,-0.757406935760666,4.38188426601956
-0.0801654654777407,5.1663318662295,-0.745179747895487,4.82548424359711
0.00448009857444219,3.27415040832191,-0.126548005005605,4.49065009354439
-0.481188079062087,4.95082344334824,-0.192704196156505,1.95262803651542
-0.34877091397516,5.34989368516426,-0.653198782026491,5.66613973222532
-0.198581830270674,4.41083446451875,-0.884930990573302,8.88185375501065
-0.870946794676505,4.45444937413584,-1.65337665056386,7.26563804730599
-0.18123091963061,2.98624799837251,-0.0886215205911077,4.60888668029859
-0.449753220747071,4.00155685597444,-1.2586691113689,5.27597226479899
-0.484645376675169,11.6549356865176,-0.809968156663187,15.6254380667243
-0.0697137552944318,5.25814576373306,-0.635865405528314,7.27096305754872
-0.963885992654709,5.34132770065769,-18.0866868670931,59.9165719293414
-0.201353373683612,4.90754811464343,-0.360673796115177,4.86292653102282
-0.135260635510727,3.20277807621091,-0.220661253195732,4.44144867142114
0.0437771914173679,5.909463497089,-0.00883979531342502,5.77498219328074
-0.939625003483989,4.49603018377593,-1.0929777474272,6.74053073311296
-0.15206785394845,2.28545498385714,-0.300472226684478,3.40668039489246
-0.275675359739726,4.52205691613391,-2.60300863351692,11.3659595982812
-0.0946242608160995,5.42267753513799,-1.45500969768163,11.5420294209875
