condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.72,0,2,2,4,1.0978
1,1,0.28,1,-3,-3,7,1.6607
1,1,0.28,1,-3,-3,5,1.3287
1,1,0.72,1,-2,-2,4,1.0864
1,1,0.28,0,3,3,5,1.2985
1,1,0.28,1,-4,-4,8,1.8758
1,1,0.28,1,-4,-4,4,1.1197
1,1,0.28,1,-4,-4,4,1.0991
1,1,0.72,0,1,1,11,2.5595
1,1,0.28,1,-3,-3,5,1.3265
1,1,0.72,0,2,2,8,1.8762
1,1,0.72,0,2,2,6,1.4843
1,1,0.72,1,-2,-3,6,1.538
1,1,0.28,1,-2,-3,4,1.0834
1,1,0.72,0,2,2,6,1.5137
1,1,0.72,1,-2,-3,8,1.8812
1,1,0.28,1,-3,-3,7,1.7672
1,1,0.28,1,-5,-5,9,2.1005
1,1,0.28,1,-2,-3,8,1.9447
1,1,0.28,1,-3,-3,5,1.3305
1,1,0.72,0,4,4,4,1.1243
1,1,0.28,1,-1,-2,13,2.9814
1,1,0.28,0,-3,-3,11,2.5752
1,1,0.72,0,2,2,8,1.9112
1,1,0.28,0,1,2,9,2.1511
1,1,0.28,1,-3,-3,7,1.731
1,1,0.28,1,-3,-3,3,0.84235
1,1,0.28,1,-2,-2,2,0.6963
1,1,0.28,0,1,1,11,2.5606
1,1,0.72,0,3,3,7,1.7617
1,1,0.28,1,-2,-2,8,1.8469
1,1,0.72,0,-1,-2,13,2.9167
1,1,0.28,1,-3,-3,5,1.3295
1,1,0.28,1,-3,-3,5,1.2396
1,1,0.28,1,-4,-4,6,1.3939
1,1,0.72,0,3,3,7,1.7623
1,1,0.28,1,-4,-4,6,1.4443
1,1,0.28,1,-4,-4,6,1.4453
1,1,0.28,1,-3,-3,5,1.3477
1,1,0.28,1,-4,-4,14,2.9357
1,1,0.28,1,-5,-5,11,2.3888
1,1,0.72,0,1,1,9,2.111
1,1,0.28,1,-4,-4,6,1.443
1,1,0.72,0,3,3,5,1.207
1,1,0.72,0,2,2,6,1.5665
1,1,0.28,1,-4,-4,4,1.0242
1,1,0.72,0,5,5,5,1.1643
1,1,0.28,1,-4,-4,8,1.9886
1,1,0.28,1,-3,-4,5,1.2411
1,2,0.28,1,-2,-2,2,0.66866
1,2,0.72,0,3,3,3,0.8628
1,2,0.72,0,2,2,4,1.1411
1,2,0.72,1,-2,-2,4,1.0788
1,2,0.72,0,3,3,3,0.88002
1,2,0.28,1,-1,-1,3,0.87196
1,2,0.72,1,0,1,6,1.4391
1,2,0.28,1,-3,-3,3,0.86075
1,2,0.28,0,1,2,3,0.87831
1,2,0.28,1,-3,-3,5,1.2809
1,2,0.28,1,-3,-3,3,0.89796
1,2,0.72,0,2,2,4,1.1414
1,2,0.72,0,3,3,3,0.90332
1,2,0.28,1,-3,-3,3,0.89748
1,2,0.28,0,4,4,4,1.0774
1,2,0.72,0,2,2,4,1.1032
1,2,0.72,0,3,3,7,1.7245
1,2,0.28,0,-1,-4,17,3.8186
1,2,0.72,1,-1,-2,5,1.2762
1,2,0.28,1,-3,-3,7,1.6937
1,2,0.72,0,3,3,7,1.7377
1,2,0.28,1,-2,-2,4,1.0494
1,2,0.28,1,-1,-2,15,3.4464
1,2,0.72,0,2,2,6,1.481
1,2,0.28,0,2,3,8,1.9664
1,2,0.28,1,-3,-3,3,0.88248
1,2,0.72,0,1,2,9,2.1964
1,2,0.28,1,-3,-3,5,1.2599
1,2,0.72,0,2,2,4,1.0642
1,2,0.72,0,2,2,6,1.4775
1,2,0.72,0,4,4,4,1.0413
1,2,0.28,1,-3,-4,5,1.1913
1,2,0.28,1,-3,-3,5,1.3037
1,2,0.72,0,4,4,4,1.0492
1,2,0.72,0,3,3,7,1.6309
1,2,0.28,0,0,2,8,1.9223
1,2,0.28,1,-3,-3,5,1.2282
1,2,0.72,0,3,3,5,1.2791
1,2,0.72,1,-2,-2,4,1.059
1,2,0.72,0,3,3,5,1.2738
1,2,0.28,1,-3,-3,3,0.87423
1,2,0.72,0,2,2,4,1.0385
1,2,0.72,0,0,1,4,1.1121
1,2,0.72,0,3,3,5,1.1865
1,2,0.28,0,0,1,4,1.0282
1,2,0.28,1,-4,-4,4,1.0659
1,2,0.72,0,-1,-1,5,1.176
1,2,0.72,0,2,2,6,1.5528
2,1,0.5,0,-1,-1,1,0.45919
2,1,0.5,0,1,1,1,0.44484
2,1,0.5,0,2,2,2,0.68715
2,1,0.5,1,-1,-1,1,0.50088
2,1,0.5,0,-1,-1,1,0.47387
2,1,0.5,0,-1,-1,1,0.46518
2,1,0.5,1,1,1,1,0.41886
2,1,0.5,0,1,1,3,0.90843
2,1,0.5,1,-1,-1,1,0.45435
2,1,0.5,1,-1,-1,1,0.45002
2,1,0.5,0,-1,-1,1,0.46376
2,1,0.5,0,1,1,1,0.50218
2,1,0.5,0,1,1,1,0.49597
2,1,0.5,1,-1,-1,1,0.48287
2,1,0.5,0,-1,-1,1,0.46834
2,1,0.5,1,-3,-3,3,0.85222
2,1,0.5,0,1,1,1,0.50869
2,1,0.5,1,1,1,1,0.43411
2,1,0.5,1,-2,-2,4,1.0416
2,1,0.5,1,0,1,2,0.64085
2,1,0.5,0,-1,-1,3,0.89477
2,1,0.5,0,4,4,4,1.1225
2,1,0.5,1,-1,-1,1,0.44039
2,1,0.5,0,0,1,2,0.65553
2,1,0.5,1,-1,-1,1,0.49128
2,1,0.5,1,1,1,1,0.44716
2,1,0.5,0,1,1,1,0.49799
2,1,0.5,0,3,3,3,0.89065
2,1,0.5,0,1,1,1,0.51467
2,1,0.5,0,-1,-1,1,0.46106
2,1,0.5,1,1,1,1,0.51122
2,1,0.5,0,0,1,2,0.70301
2,1,0.5,0,-1,-1,1,0.49649
2,1,0.5,1,1,1,1,0.47436
2,1,0.5,0,1,1,1,0.48157
2,1,0.5,1,1,1,1,0.43189
2,1,0.5,1,-1,-1,1,0.50027
2,2,0.5,0,1,1,1,0.45546
2,2,0.5,0,1,1,1,0.46775
2,2,0.5,1,-1,-1,1,0.46147
2,2,0.5,0,-1,-1,1,0.47083
2,2,0.5,0,1,1,1,0.43896
2,2,0.5,1,-1,-1,5,1.2947
2,2,0.5,0,-1,-1,1,0.48678
2,2,0.5,1,-1,-1,1,0.44781
2,2,0.5,1,-1,-1,1,0.47033
2,2,0.5,1,-2,-3,4,1.1062
2,2,0.5,0,-1,-1,1,0.49508
2,2,0.5,1,1,1,1,0.45974
2,2,0.5,1,-1,-1,1,0.43909
2,2,0.5,0,2,2,2,0.68088
2,2,0.5,1,1,1,1,0.47802
2,2,0.5,0,-1,-2,3,0.91542
2,2,0.5,0,1,1,1,0.47563
2,2,0.5,0,-1,-1,1,0.49062
2,2,0.5,1,1,1,1,0.41532
2,2,0.5,1,-1,-1,1,0.48249
2,2,0.5,0,1,1,1,0.4763
