"ml_slopes.e","ml_intercepts.e","ml_slopes.m","ml_intercepts.m"
-0.723254267927202,7.0896607014576,-0.310052942356725,5.48012935804772
-0.536197629311679,6.06419579947357,-0.887218100284827,4.54939345720573
-0.112967810003248,3.13044133372308,-0.290039970978418,5.10471940433233
-0.804431623491614,8.01332527172645,-10.8169266540439,31.4148389346386
-0.304169096605344,3.97958394217672,-0.806129866597248,4.57332566672177
-0.0815458377278699,5.1726901075735,-0.737504179659433,4.85168151549818
-0.0408660821077906,4.60883482950975,-0.212531792618578,6.1570203384318
-0.488644912645082,4.96372211036749,-0.308238854042893,2.32066091397903
-0.336931996075509,5.30782021237512,-0.660533729569211,5.72420614838141
-0.347838597555439,4.92761616284586,-0.844574695691378,8.26224176692285
-0.792114616739128,4.25505143895287,-1.58165063616667,7.09297440004307
-0.194632510286776,3.07078132571546,-0.100029853067462,4.70408596989844
-0.461442309582443,4.04673446527005,-1.28304229295968,5.41115624362566
-0.459894971069531,11.4440541199749,-0.750760112334552,14.8828172948718
-0.128392277837809,6.98131437203452,-0.909113195712525,10.4789048660347
-1.45520856031784,9.36995926540607,32.5137000546566,-134.140148730485
-0.202181256232955,4.91459951519505,-0.385145931505352,4.98230946199235
-0.149396695829539,3.28824563028751,-0.232576882456662,4.53718978577799
0.0444776282885389,5.91129635589991,-0.00749295211198834,5.76835742235142
-0.884473786002813,4.35518720353506,-1.07668957772993,6.72533642520376
-0.187652835692007,2.43249945116863,-0.333560078823578,3.61231084064494
-0.277868393001273,4.53492464555877,-2.12790055115552,9.5698536308625
-2.11581135109934,3.20533933054238,-2.82278466129965,4.92958206271247
-0.0950615732341523,5.42153541869619,-1.3401061291162,10.967115587684
