condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.28,1,-4,-4,12,0.85644
1,1,0.72,0,5,5,9,0.70588
1,1,0.28,1,-3,-4,23,1.396
1,1,0.28,1,-10,-10,10,0.75639
1,1,0.28,1,-7,-7,7,0.58573
1,1,0.72,0,6,6,12,0.85971
1,1,0.28,1,-2,-6,12,0.85365
1,1,0.28,1,-10,-10,14,0.96995
1,1,0.72,0,12,12,12,0.90956
1,1,0.28,1,-3,-7,13,0.93359
1,1,0.72,0,8,9,22,1.4415
1,1,0.28,1,-6,-6,16,1.1436
1,1,0.72,0,2,4,16,1.1134
1,1,0.28,1,-7,-8,15,1.0575
1,1,0.28,1,-11,-11,13,1.0273
1,1,0.72,0,6,6,10,0.87564
1,1,0.72,0,3,3,9,0.81957
1,1,0.72,0,7,7,9,0.78126
1,1,0.72,0,4,4,12,0.95092
1,1,0.72,0,2,2,14,1.0629
1,1,0.28,1,-4,-5,14,1.0726
1,1,0.72,0,5,6,11,0.88885
1,1,0.72,0,5,6,15,1.1565
1,1,0.72,0,3,4,9,0.77043
1,1,0.72,0,4,4,10,0.83093
1,1,0.28,0,2,2,8,0.69474
1,1,0.72,0,3,4,13,1.0298
1,1,0.72,0,2,3,10,0.83812
1,1,0.28,1,-10,-10,32,2.1558
1,1,0.28,1,-11,-11,25,1.764
1,1,0.72,1,-1,-3,17,1.2974
1,1,0.28,1,-9,-11,15,1.0478
1,1,0.72,0,9,10,11,0.79608
1,1,0.28,0,0,3,10,0.72993
1,1,0.72,0,6,6,10,0.72125
1,1,0.28,1,-6,-6,18,1.219
1,1,0.72,0,3,3,17,1.1488
1,1,0.72,0,2,4,14,1.0374
1,1,0.28,1,-7,-8,15,1.0994
1,1,0.72,0,8,8,8,0.75544
1,1,0.72,0,9,9,13,0.9908
1,1,0.28,1,-7,-7,19,1.3953
1,1,0.28,1,-7,-7,11,0.91051
1,1,0.72,1,17,19,47,3.0503
1,1,0.72,0,5,5,13,1.1842
1,1,0.72,0,4,5,22,1.7882
1,1,0.28,1,-6,-6,6,0.67192
1,1,0.28,1,-5,-5,11,0.98604
1,1,0.28,0,5,5,5,0.61635
1,1,0.72,0,2,5,10,0.75996
1,1,0.72,0,3,5,17,1.1142
1,1,0.72,0,5,6,11,0.83597
1,1,0.28,1,-7,-7,7,0.61752
1,1,0.28,1,-5,-5,7,0.61565
1,1,0.72,0,5,5,7,0.56717
1,1,0.28,1,-3,-3,7,0.6075
1,1,0.28,1,-5,-5,7,0.58906
1,1,0.28,1,-5,-5,5,0.49928
1,1,0.72,0,-2,-2,8,0.64967
1,1,0.72,0,6,6,16,1.0717
1,2,0.72,0,3,4,17,1.132
1,2,0.28,1,-7,-7,11,0.79153
1,2,0.28,1,-7,-7,13,0.87211
1,2,0.72,0,7,7,11,0.82381
1,2,0.72,0,5,5,9,0.71326
1,2,0.28,1,-9,-9,13,0.92949
1,2,0.28,1,-9,-9,11,0.81341
1,2,0.28,1,-7,-7,7,0.63375
1,2,0.72,0,3,4,15,1.0569
1,2,0.72,0,6,6,6,0.60284
1,2,0.28,1,-7,-8,19,1.305
1,2,0.28,1,-6,-7,30,2.0192
1,2,0.28,1,-7,-7,15,1.1412
1,2,0.28,1,-5,-6,7,0.66275
1,2,0.28,1,-6,-6,12,0.93679
1,2,0.72,0,4,4,20,1.4347
1,2,0.72,0,4,4,12,0.97098
1,2,0.28,1,-7,-7,11,0.9028
1,2,0.72,0,7,7,9,0.76888
1,2,0.72,0,8,8,20,1.4446
1,2,0.72,0,8,8,10,0.83415
1,2,0.28,1,-6,-6,14,1.0818
1,2,0.72,0,5,5,7,0.68773
1,2,0.28,1,-6,-6,12,0.93178
1,2,0.72,0,3,4,9,0.76005
1,2,0.72,0,5,5,11,0.80617
1,2,0.28,1,-6,-7,16,1.1695
1,2,0.28,1,-6,-6,6,0.54189
1,2,0.72,0,5,5,13,0.88809
1,2,0.28,1,-5,-5,5,0.50734
1,2,0.28,1,-4,-5,6,0.53199
1,2,0.28,1,0,3,10,0.76707
1,2,0.72,0,5,5,7,0.68308
1,2,0.72,0,6,6,6,0.58557
1,2,0.28,1,-6,-6,6,0.57706
1,2,0.28,1,-5,-5,9,0.7832
1,2,0.72,1,-3,-4,5,0.55471
1,2,0.72,0,4,5,12,1.043
1,2,0.72,0,6,6,6,0.65893
1,2,0.28,1,-4,-4,4,0.53483
1,2,0.28,1,-1,-2,9,0.88107
1,2,0.28,1,-6,-6,14,1.2144
1,2,0.28,1,-6,-6,10,0.97072
1,2,0.28,1,-5,-5,15,1.3086
1,2,0.72,0,5,5,7,0.7368
1,2,0.28,1,-4,-4,8,0.82857
1,2,0.28,1,-6,-6,12,1.0662
1,2,0.72,1,5,7,9,0.8924
1,2,0.28,1,-5,-5,17,1.1197
1,2,0.72,0,4,5,12,0.85369
1,2,0.28,1,-6,-6,6,0.57397
1,2,0.72,0,6,7,8,0.67216
1,2,0.28,1,-6,-6,14,0.98188
1,2,0.72,0,5,5,9,0.69572
1,2,0.72,0,3,5,13,0.89317
1,2,0.72,0,7,7,11,0.80587
1,2,0.28,1,-8,-8,20,1.2937
1,2,0.28,1,-7,-7,7,0.59742
1,2,0.28,1,-6,-6,8,0.63337
1,2,0.28,1,-5,-6,13,0.91744
1,2,0.28,1,-7,-7,9,0.68123
1,2,0.28,1,-5,-5,9,0.69166
1,2,0.72,0,3,4,7,0.57658
1,2,0.72,0,6,6,8,0.63697
1,2,0.28,1,-4,-4,8,0.65517
1,2,0.72,1,-1,-3,5,0.46317
1,2,0.28,1,-3,-3,3,0.43083
1,3,0.28,1,-6,-6,8,0.65939
1,3,0.72,0,3,4,7,0.62972
1,3,0.28,1,-3,-4,7,0.60564
1,3,0.28,1,-2,-3,4,0.47485
1,3,0.28,1,0,2,10,0.76313
1,3,0.28,1,-5,-5,9,0.74481
1,3,0.28,1,-4,-4,8,0.66735
1,3,0.72,0,2,4,10,0.79469
1,3,0.28,1,-6,-6,8,0.73851
1,3,0.28,1,-3,-3,7,0.64448
1,3,0.72,0,4,4,4,0.4903
1,3,0.72,0,4,4,4,0.46267
1,3,0.72,1,1,1,3,0.44064
1,3,0.72,0,13,13,27,1.5941
1,3,0.28,1,-4,-4,12,0.81795
1,3,0.28,1,-7,-7,11,0.79626
1,3,0.28,1,-4,-4,6,0.56994
1,3,0.72,0,5,5,13,0.9662
1,3,0.28,1,-5,-5,9,0.7623
1,3,0.28,1,-3,-3,7,0.62383
1,3,0.72,0,4,4,6,0.61757
1,3,0.28,1,-5,-5,7,0.67577
1,3,0.72,0,5,5,7,0.69958
1,3,0.28,1,-5,-5,5,0.57988
1,3,0.72,0,3,3,7,0.66927
1,3,0.72,0,3,3,7,0.66964
1,3,0.28,1,-3,-3,5,0.53332
