condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.72,0,1,1,1,0.33067
1,1,0.72,0,1,1,1,0.32195
1,1,0.72,0,1,1,1,0.32197
1,1,0.28,1,-1,-2,3,0.45997
1,1,0.28,1,-2,-2,2,0.38666
1,1,0.28,1,-2,-2,2,0.41457
1,1,0.72,0,1,1,3,0.44375
1,1,0.72,0,0,1,2,0.39607
1,1,0.28,1,-2,-2,2,0.38958
1,1,0.72,0,1,1,1,0.35402
1,1,0.72,0,3,3,3,0.41978
1,1,0.72,0,1,1,1,0.39425
1,1,0.28,0,0,1,2,0.42
1,1,0.72,0,3,3,3,0.41762
1,1,0.28,1,-2,-2,2,0.42336
1,1,0.72,0,1,1,1,0.34781
1,1,0.72,0,1,1,1,0.35911
1,1,0.72,0,1,1,1,0.377
1,1,0.28,1,-2,-2,2,0.43933
1,1,0.72,0,1,1,1,0.35378
1,1,0.28,0,0,1,2,0.41172
1,1,0.28,0,0,1,4,0.53945
1,1,0.28,1,-2,-2,2,0.40928
1,1,0.28,1,-1,-1,3,0.46505
1,1,0.28,1,-2,-2,2,0.4208
1,1,0.72,1,0,1,2,0.39528
1,1,0.72,0,2,2,2,0.39069
1,1,0.72,0,0,1,4,0.54654
1,1,0.28,1,-3,-3,3,0.49455
1,1,0.28,1,-2,-2,4,0.48473
1,1,0.72,1,1,1,3,0.4527
1,1,0.28,1,-1,-2,3,0.47601
1,1,0.72,0,3,3,7,0.66198
1,1,0.28,1,-4,-4,4,0.50656
1,1,0.72,0,3,3,5,0.63032
1,1,0.28,0,0,1,6,0.58619
1,1,0.28,1,-2,-2,2,0.3982
1,1,0.72,1,0,1,2,0.44835
1,1,0.28,1,-3,-3,3,0.46383
1,1,0.72,1,1,1,3,0.49183
1,1,0.72,0,1,1,1,0.40384
1,1,0.28,0,2,2,4,0.49974
1,1,0.72,1,-2,-2,2,0.40948
1,1,0.72,0,4,4,6,0.73742
1,1,0.72,0,4,4,8,0.70685
1,1,0.28,1,-3,-3,3,0.49706
1,1,0.28,1,-2,-2,4,0.61743
1,1,0.28,1,-2,-4,8,0.70466
1,1,0.72,1,4,4,10,0.88089
1,1,0.28,1,-2,-2,2,0.5052
1,1,0.28,1,-2,-2,6,0.57109
1,1,0.72,0,2,2,4,0.53476
1,1,0.72,0,0,1,2,0.48839
