condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.1,1,-2,-2,2,0.38756
1,1,0.9,0,1,1,1,0.36731
1,1,0.9,0,1,1,1,0.35923
1,1,0.1,1,-1,-1,1,0.36114
1,1,0.9,0,2,2,2,0.40092
1,1,0.1,1,-2,-2,2,0.38727
1,1,0.9,0,1,1,1,0.35041
1,1,0.9,0,1,1,1,0.34669
1,1,0.9,0,1,1,1,0.38987
1,1,0.9,0,1,1,1,0.36963
1,1,0.9,0,1,1,1,0.38595
1,1,0.1,1,-2,-2,2,0.40573
1,1,0.9,0,2,2,2,0.4055
1,1,0.1,0,2,2,2,0.40529
1,1,0.1,1,-2,-2,2,0.43727
1,1,0.1,1,-2,-2,4,0.53499
1,1,0.9,0,2,2,2,0.42918
1,1,0.1,1,-1,-1,1,0.37675
1,1,0.1,1,-1,-1,1,0.37428
1,1,0.1,1,-2,-2,2,0.41186
1,1,0.9,0,2,2,2,0.45827
1,1,0.9,0,1,1,1,0.38364
1,1,0.9,0,1,1,1,0.33213
1,1,0.9,0,2,2,2,0.4019
1,1,0.9,0,1,1,1,0.38506
1,1,0.9,0,1,1,1,0.3736
1,1,0.9,0,1,1,1,0.35553
1,2,0.1,1,-3,-3,3,0.44118
1,2,0.1,1,-1,-1,1,0.36968
1,2,0.9,0,3,3,5,0.56086
1,2,0.9,0,2,2,2,0.41724
1,2,0.1,1,-3,-3,3,0.45486
1,2,0.1,1,-2,-2,2,0.39682
1,2,0.1,1,-4,-4,6,0.61461
1,2,0.9,0,3,3,5,0.62649
1,2,0.9,0,3,3,3,0.51758
1,2,0.9,0,1,1,1,0.3761
1,2,0.9,0,2,2,4,0.55727
1,2,0.9,0,1,1,3,0.51153
1,2,0.9,0,1,1,1,0.39347
1,2,0.1,1,-2,-2,2,0.41887
1,2,0.9,0,2,2,2,0.42525
1,2,0.1,1,-2,-2,4,0.5564
1,2,0.1,1,-2,-2,2,0.41495
1,2,0.1,1,-2,-2,2,0.42816
1,2,0.9,0,1,1,1,0.38453
1,2,0.1,1,-2,-2,2,0.41991
1,2,0.9,0,2,2,2,0.44972
1,2,0.9,0,2,2,2,0.39389
1,2,0.9,0,2,2,2,0.40367
1,2,0.1,1,-3,-3,3,0.45127
1,2,0.1,1,-5,-5,5,0.51335
