condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.9,0,1,1,1,0.33981
1,1,0.9,0,2,2,2,0.3774
1,1,0.1,0,-1,-1,3,0.41498
1,1,0.9,0,4,4,8,0.69288
1,1,0.1,1,-2,-2,4,0.47488
1,1,0.1,1,-3,-3,3,0.44471
1,1,0.9,1,0,1,2,0.39666
1,1,0.1,1,-3,-3,3,0.42988
1,1,0.9,0,2,2,2,0.39402
1,1,0.1,1,-2,-2,4,0.50831
1,1,0.9,0,3,3,3,0.46374
1,1,0.1,1,-2,-2,2,0.43574
1,1,0.9,0,2,2,2,0.42996
1,1,0.1,1,-1,-1,1,0.3775
1,1,0.9,0,1,1,1,0.38288
1,1,0.1,1,-1,-1,1,0.38702
1,1,0.1,1,-1,-1,1,0.39898
1,1,0.9,0,1,1,1,0.38435
1,1,0.1,1,-1,-1,1,0.39629
1,1,0.9,0,1,1,1,0.38264
1,1,0.9,0,1,1,1,0.38582
1,1,0.9,0,1,1,1,0.34996
1,1,0.1,1,-1,-1,1,0.3775
1,1,0.9,0,2,2,2,0.39165
1,1,0.1,1,-1,-1,1,0.38582
1,1,0.9,0,2,2,2,0.41341
1,1,0.9,0,2,2,2,0.39537
1,2,0.9,0,2,2,2,0.36199
1,2,0.9,0,2,2,2,0.38616
1,2,0.1,1,-3,-3,5,0.55729
1,2,0.1,1,-2,-2,2,0.37584
1,2,0.1,1,-2,-2,2,0.38118
1,2,0.9,0,1,1,1,0.36093
1,2,0.1,0,1,1,1,0.36848
1,2,0.1,1,-2,-2,2,0.40045
1,2,0.1,1,-1,-1,3,0.48249
1,2,0.9,0,2,2,2,0.41008
1,2,0.9,0,2,2,2,0.4577
1,2,0.9,0,3,3,5,0.59205
1,2,0.1,1,-2,-2,2,0.42622
1,2,0.1,1,-1,-1,1,0.38942
1,2,0.1,1,-1,-1,1,0.36136
1,2,0.9,0,2,2,2,0.40114
1,2,0.1,1,-1,-1,1,0.38531
1,2,0.9,0,1,1,1,0.38066
1,2,0.9,0,3,3,3,0.50711
1,2,0.1,1,-1,-1,1,0.38246
1,2,0.9,1,0,1,2,0.44229
1,2,0.9,0,2,2,2,0.41864
1,2,0.9,0,1,1,1,0.37622
1,2,0.9,1,-1,-1,1,0.39039
1,2,0.9,0,2,2,2,0.41796
1,2,0.9,0,2,2,2,0.39114
1,2,0.9,0,2,2,2,0.40093
1,3,0.9,0,1,1,1,0.35462
1,3,0.1,1,-1,-1,1,0.37218
1,3,0.1,1,-3,-3,3,0.48986
1,3,0.1,1,-3,-3,3,0.4819
1,3,0.1,1,-2,-2,2,0.42607
1,3,0.9,0,2,2,2,0.39806
1,3,0.9,0,2,2,2,0.39124
1,3,0.9,0,1,1,1,0.3854
1,3,0.9,0,2,2,2,0.42079
1,3,0.1,1,-1,-1,1,0.38494
1,3,0.9,0,1,1,1,0.36467
1,3,0.1,1,-2,-2,2,0.46013
1,3,0.9,0,1,1,1,0.39428
1,3,0.1,1,-1,-1,1,0.39623
1,3,0.1,0,1,1,1,0.36598
1,3,0.9,0,2,2,2,0.40579
1,3,0.9,0,1,1,1,0.39773
1,3,0.1,1,-2,-2,2,0.39189
1,3,0.9,0,2,2,2,0.40948
1,3,0.1,1,-3,-3,5,0.60165
1,3,0.1,1,-2,-2,2,0.42485
1,3,0.1,0,-1,-1,3,0.48474
1,3,0.1,1,-2,-2,2,0.43671
1,3,0.1,0,1,1,1,0.39088
1,3,0.1,1,-2,-2,2,0.43287
1,3,0.1,1,-2,-2,2,0.41827
1,3,0.1,1,-2,-2,2,0.40024
1,4,0.1,1,-2,-2,2,0.4167
1,4,0.1,1,-2,-2,2,0.39867
1,4,0.9,0,2,2,2,0.39282
1,4,0.1,0,0,1,2,0.38598
1,4,0.1,1,-1,-1,1,0.3902
1,4,0.1,1,-2,-2,2,0.42555
1,4,0.1,1,-1,-1,1,0.39753
1,4,0.9,1,-1,-1,1,0.39168
1,4,0.1,1,-1,-2,5,0.62508
1,4,0.1,1,-2,-2,2,0.44587
1,4,0.1,1,-1,-1,1,0.38907
1,4,0.9,0,2,2,2,0.40102
1,4,0.9,0,2,2,2,0.4008
1,4,0.9,0,1,1,1,0.40058
1,4,0.9,0,1,1,1,0.39473
1,4,0.9,0,1,1,1,0.38791
1,4,0.9,0,1,1,1,0.35985
1,4,0.1,1,-2,-2,2,0.41841
1,4,0.1,1,-2,-2,2,0.42381
1,4,0.9,0,1,1,1,0.37135
1,4,0.9,0,1,1,1,0.39333
1,4,0.9,0,2,2,2,0.40312
1,4,0.1,1,-2,-2,2,0.40289
1,4,0.9,0,2,2,4,0.52281
1,4,0.1,1,-2,-2,4,0.52269
1,4,0.9,0,2,2,2,0.39465
1,4,0.1,1,-2,-2,2,0.40442
2,1,0.4,1,-1,-1,5,0.56005
2,1,0.6,0,-1,-1,5,0.52994
2,1,0.4,0,3,3,7,0.65776
2,1,0.6,1,1,1,7,0.65556
2,1,0.6,0,4,4,14,0.97271
2,1,0.4,1,-7,-7,7,0.6271
2,1,0.4,1,1,2,11,0.87073
2,1,0.4,0,1,3,9,0.75422
2,1,0.4,1,-3,-3,5,0.58077
