trial,condition,coherence,time,evidence,action,rt
1,1,0.9,1,1,0,3
1,1,0.9,2,2,0,3
1,1,0.9,3,3,1,3
2,1,0.9,1,1,0,2
2,1,0.9,2,2,1,2
3,1,0.9,1,1,1,1
4,1,0.1,1,1,0,5
4,1,0.1,2,-0,0,5
4,1,0.1,3,1,0,5
4,1,0.1,4,2,0,5
4,1,0.1,5,3,1,5
5,1,0.1,1,1,0,2
5,1,0.1,2,2,1,2
6,1,0.9,1,-1,0,4
6,1,0.9,2,0,0,4
6,1,0.9,3,1,0,4
6,1,0.9,4,2,1,4
7,1,0.1,1,1,0,3
7,1,0.1,2,2,0,3
7,1,0.1,3,3,1,3
8,1,0.1,1,1,0,3
8,1,0.1,2,2,0,3
8,1,0.1,3,1,1,3
9,1,0.1,1,1,0,2
9,1,0.1,2,2,1,2
10,1,0.1,1,1,0,2
10,1,0.1,2,2,1,2
11,1,0.9,1,1,0,2
11,1,0.9,2,2,1,2
12,1,0.9,1,1,0,2
12,1,0.9,2,2,1,2
13,1,0.1,1,1,0,2
13,1,0.1,2,2,1,2
14,1,0.1,1,1,0,2
14,1,0.1,2,2,1,2
15,1,0.1,1,1,0,2
15,1,0.1,2,2,1,2
16,1,0.9,1,1,1,1
17,1,0.1,1,1,0,2
17,1,0.1,2,2,1,2
18,1,0.1,1,1,0,3
18,1,0.1,2,2,0,3
18,1,0.1,3,3,1,3
19,1,0.1,1,1,0,5
19,1,0.1,2,2,0,5
19,1,0.1,3,3,0,5
19,1,0.1,4,4,0,5
19,1,0.1,5,5,1,5
20,1,0.9,1,1,1,1
21,1,0.9,1,-1,0,3
21,1,0.9,2,0,0,3
21,1,0.9,3,1,1,3
22,1,0.1,1,1,0,5
22,1,0.1,2,-0,0,5
22,1,0.1,3,1,0,5
22,1,0.1,4,2,0,5
22,1,0.1,5,3,1,5
23,1,0.1,1,1,0,7
23,1,0.1,2,-0,0,7
23,1,0.1,3,1,0,7
23,1,0.1,4,2,0,7
23,1,0.1,5,1,0,7
23,1,0.1,6,2,0,7
23,1,0.1,7,3,1,7
24,1,0.9,1,1,0,3
24,1,0.9,2,2,0,3
24,1,0.9,3,3,1,3
25,1,0.1,1,1,0,3
25,1,0.1,2,2,0,3
25,1,0.1,3,3,1,3
26,1,0.1,1,-1,0,6
26,1,0.1,2,-0,0,6
26,1,0.1,3,1,0,6
26,1,0.1,4,-0,0,6
26,1,0.1,5,1,0,6
26,1,0.1,6,2,1,6
27,1,0.9,1,1,1,1
28,1,0.1,1,1,0,3
28,1,0.1,2,0,0,3
28,1,0.1,3,-1,1,3
29,1,0.9,1,1,0,5
29,1,0.9,2,2,0,5
29,1,0.9,3,3,0,5
29,1,0.9,4,4,0,5
29,1,0.9,5,5,1,5
30,1,0.9,1,1,0,4
30,1,0.9,2,0,0,4
30,1,0.9,3,1,0,4
30,1,0.9,4,2,1,4
31,1,0.1,1,1,0,2
31,1,0.1,2,2,1,2
32,1,0.1,1,1,0,2
32,1,0.1,2,2,1,2
33,1,0.1,1,1,1,1
34,1,0.9,1,1,0,6
34,1,0.9,2,0,0,6
34,1,0.9,3,-1,0,6
34,1,0.9,4,0,0,6
34,1,0.9,5,1,0,6
34,1,0.9,6,2,1,6
35,1,0.1,1,1,0,4
35,1,0.1,2,2,0,4
35,1,0.1,3,3,0,4
35,1,0.1,4,4,1,4
36,1,0.9,1,1,0,2
36,1,0.9,2,2,1,2
37,1,0.1,1,1,0,3
37,1,0.1,2,2,0,3
37,1,0.1,3,1,1,3
38,1,0.9,1,1,0,3
38,1,0.9,2,2,0,3
38,1,0.9,3,3,1,3
39,1,0.9,1,1,1,1
40,1,0.9,1,1,1,1
41,1,0.1,1,1,1,1
42,1,0.9,1,1,0,2
42,1,0.9,2,2,1,2
43,1,0.9,1,-1,0,2
43,1,0.9,2,-0,1,2
44,1,0.1,1,1,0,2
44,1,0.1,2,2,1,2
45,1,0.9,1,1,0,2
45,1,0.9,2,2,1,2
46,1,0.9,1,1,0,2
46,1,0.9,2,2,1,2
47,1,0.1,1,1,0,2
47,1,0.1,2,2,1,2
48,1,0.1,1,1,0,4
48,1,0.1,2,-0,0,4
48,1,0.1,3,1,0,4
48,1,0.1,4,2,1,4
49,1,0.9,1,1,0,5
49,1,0.9,2,2,0,5
49,1,0.9,3,3,0,5
49,1,0.9,4,4,0,5
49,1,0.9,5,5,1,5
50,1,0.1,1,1,1,1
51,1,0.9,1,-1,0,2
51,1,0.9,2,0,1,2
52,1,0.1,1,1,0,2
52,1,0.1,2,2,1,2
53,1,0.1,1,1,1,1
54,1,0.9,1,1,0,2
54,1,0.9,2,2,1,2
55,1,0.9,1,1,0,2
55,1,0.9,2,2,1,2
56,1,0.9,1,-1,0,3
56,1,0.9,2,0,0,3
56,1,0.9,3,1,1,3
57,1,0.9,1,1,1,1
58,1,0.9,1,1,1,1
59,1,0.9,1,1,0,3
59,1,0.9,2,0,0,3
59,1,0.9,3,1,1,3
60,1,0.9,1,1,0,2
60,1,0.9,2,2,1,2
61,1,0.1,1,1,0,4
61,1,0.1,2,2,0,4
61,1,0.1,3,3,0,4
61,1,0.1,4,4,1,4
62,1,0.1,1,1,0,2
62,1,0.1,2,2,1,2
63,1,0.1,1,1,1,1
64,1,0.1,1,1,0,2
64,1,0.1,2,2,1,2
65,1,0.9,1,-1,0,3
65,1,0.9,2,-0,0,3
65,1,0.9,3,1,1,3
66,1,0.9,1,1,1,1
67,1,0.9,1,1,0,3
67,1,0.9,2,2,0,3
67,1,0.9,3,1,1,3
68,1,0.1,1,-1,1,1
69,1,0.1,1,1,0,2
69,1,0.1,2,2,1,2
70,1,0.1,1,1,0,3
70,1,0.1,2,2,0,3
70,1,0.1,3,3,1,3
71,1,0.1,1,1,0,3
