condition,block,coherence,decision,evidence,high_evidence,time,rt
1,1,0.1,1,-2,-2,2,0.41337
1,1,0.9,0,3,3,3,0.45983
1,1,0.9,0,2,2,4,0.5375
1,1,0.9,0,1,1,1,0.40729
1,1,0.9,0,1,1,1,0.40707
1,1,0.9,0,1,1,1,0.40684
1,1,0.1,1,-2,-2,4,0.52675
1,1,0.1,1,-2,-2,2,0.43095
1,1,0.9,0,1,1,3,0.49862
1,1,0.1,0,1,1,1,0.4162
1,1,0.1,1,-3,-3,7,0.70188
1,1,0.9,0,2,2,2,0.45829
1,1,0.9,0,1,1,1,0.43151
1,1,0.1,1,-1,-1,1,0.43351
1,1,0.9,0,1,1,1,0.4033
1,1,0.9,0,1,1,1,0.41088
1,1,0.1,1,-1,-1,1,0.44045
1,1,0.1,1,-2,-2,2,0.51473
1,1,0.1,1,-1,-1,1,0.42012
1,1,0.9,0,1,1,1,0.42651
1,1,0.9,0,1,1,1,0.42388
1,1,0.9,0,1,1,1,0.43588
1,1,0.1,1,-2,-2,4,0.60587
1,1,0.1,1,-1,-1,1,0.45348
1,1,0.1,1,-1,-1,1,0.40326
1,2,0.9,0,2,2,2,0.41947
1,2,0.1,1,-2,-2,2,0.46535
1,2,0.1,1,-3,-3,3,0.45469
1,2,0.1,1,-3,-3,5,0.56477
1,2,0.1,1,-3,-3,3,0.48244
1,2,0.1,1,-2,-2,2,0.43887
1,2,0.1,1,-2,-2,2,0.44445
1,2,0.1,1,-1,-1,1,0.41645
1,2,0.1,1,-3,-3,5,0.57763
1,2,0.1,1,-2,-2,2,0.44202
1,2,0.1,1,-2,-2,4,0.57418
1,2,0.9,0,2,2,2,0.4152
1,2,0.9,0,2,2,2,0.42741
1,2,0.1,1,-2,-2,2,0.45066
1,2,0.9,0,1,1,1,0.3714
1,2,0.9,0,1,1,1,0.40477
1,2,0.1,1,-2,-2,2,0.44682
1,2,0.1,1,-3,-3,3,0.46452
1,2,0.9,0,1,1,1,0.41015
1,2,0.9,0,1,1,1,0.41015
1,2,0.9,0,2,2,2,0.44813
1,2,0.9,0,1,1,1,0.40969
1,2,0.1,1,-1,-2,5,0.63714
1,2,0.1,0,2,2,2,0.47103
1,2,0.1,1,-3,-3,3,0.49918
1,3,0.1,1,-1,-1,1,0.40508
1,3,0.9,0,1,1,1,0.44113
1,3,0.1,1,-2,-2,2,0.45269
1,3,0.9,0,1,1,1,0.44473
1,3,0.1,1,-3,-3,3,0.48119
1,3,0.9,0,1,1,1,0.37451
1,3,0.1,1,-1,-1,1,0.3765
1,3,0.1,1,-2,-2,2,0.44072
1,3,0.1,1,-2,-2,2,0.44413
1,3,0.9,0,2,2,4,0.53625
1,3,0.1,1,-2,-2,2,0.45733
1,3,0.9,0,2,2,2,0.45731
1,3,0.9,0,2,2,2,0.42714
1,3,0.9,0,2,2,2,0.43477
1,3,0.1,1,-4,-4,6,0.62716
1,3,0.1,1,-2,-2,4,0.54716
1,3,0.9,0,2,2,4,0.53849
1,3,0.9,0,3,3,5,0.57657
1,3,0.9,0,2,2,2,0.43019
1,3,0.1,1,-3,-3,5,0.57632
1,3,0.1,1,-2,-2,6,0.67821
1,3,0.9,0,1,1,1,0.41766
1,3,0.1,1,-1,-1,3,0.55382
1,3,0.1,1,-2,-2,2,0.49114
1,4,0.9,0,1,1,1,0.46168
1,4,0.1,1,-2,-2,2,0.43136
1,4,0.1,1,-3,-3,3,0.46341
1,4,0.1,1,-1,-1,1,0.40114
1,4,0.9,0,1,1,1,0.39873
1,4,0.9,0,2,2,2,0.43636
1,4,0.1,1,-3,-3,5,0.59432
1,4,0.1,1,-2,-2,2,0.46635
1,4,0.9,0,2,2,2,0.43178
1,4,0.1,1,-2,-2,2,0.42958
1,4,0.1,1,-3,-3,5,0.59517
1,4,0.9,0,1,1,1,0.40376
1,4,0.9,0,2,2,2,0.41939
1,4,0.1,1,-1,-1,1,0.40499
1,4,0.1,1,-2,-2,2,0.44508
1,4,0.1,1,-1,-1,1,0.40214
1,4,0.9,0,1,1,1,0.41248
1,4,0.1,1,0,1,2,0.48421
1,4,0.9,0,1,1,1,0.43585
1,4,0.9,0,1,1,1,0.43972
1,4,0.9,0,1,1,1,0.43358
